variant_id,api_path,campaign_status,strict_verdict,reason
alloc__rc__Rc__unwrap_or_clone__a8e4b1b71dcf,alloc::rc::Rc::unwrap_or_clone,proved,strict_faithful_admissible,Mechanically expands Result::unwrap_or_else into a match while preserving Rc::try_unwrap and cloning only the returned Rc on Err. The lower try_unwrap/Clone specifications are acyclic.
alloc__str__from_boxed_utf8_unchecked__2c6621a3f1dc,alloc::str::from_boxed_utf8_unchecked,blocked,not_proved,"Verus lacks specifications for Box::into_raw and Box::from_raw that preserve allocation contents. Connecting Box<[u8]> through the DST cast to Box<str>::spec_bytes requires a new representation bridge, which the fidelity rules forbid."
alloc__string__String__as_bytes__43239b93db02,alloc::string::String::as_bytes,blocked,not_proved,Downstream Verus cannot access `String::vec`; public alternatives or a representation axiom would violate source fidelity.
alloc__string__String__capacity__4a5e8d3f1d6b,alloc::string::String::capacity,blocked,not_proved,Calling String::capacity is circular; public alternatives or a private-representation axiom would violate source fidelity.
alloc__string__String__clear__497190a78882,alloc::string::String::clear,blocked,not_proved,"Using String::clear is circular; using `as_mut_vec`, `truncate`, or a representation bridge would violate the mandatory fidelity rules."
alloc__string__String__extend_from_within__6ac6b2c91a30,alloc::string::String::extend_from_within,blocked,not_proved,The body directly accesses the private String::vec field. Using String::as_mut_vec or another public representation workaround would replace that operation and violate the fidelity requirement.
alloc__string__String__from_utf8_unchecked__8a0af2aeb184,alloc::string::String::from_utf8_unchecked,blocked,not_proved,Downstream Verus cannot express `String { vec: bytes }`; public alternatives or a representation axiom would violate source fidelity.
alloc__string__String__insert__0b701f0a35fc,alloc::string::String::insert,blocked,not_proved,"Downstream Verus cannot express the private vec accesses or verify ptr::copy, encode_utf8_raw_unchecked, and Vec::set_len against String@. Public-API substitutions violate source fidelity, while sufficient representation axioms would restate the target contract."
alloc__string__String__insert_str__d29e8d75f576,alloc::string::String::insert_str,blocked,not_proved,String::vec is private. Using as_mut_vec would replace private field operations with a forbidden public alternative; axiomatizing the representation and pointer writes would effectively restate the target contract.
alloc__string__String__into_boxed_str__719b86548ed3,alloc::string::String::into_boxed_str,blocked,not_proved,"Public-API or raw-pointer substitutes would violate source fidelity, while axiomatizing the private representation would merely restate the required semantic bridge."
alloc__string__String__into_bytes__7e6041fd46b2,alloc::string::String::into_bytes,blocked,not_proved,Downstream Verus cannot access `String::vec`; public alternatives or representation axioms would violate source fidelity.
alloc__string__String__is_empty__8b19e6aa602c,alloc::string::String::is_empty,proved,strict_faithful_admissible,Preserves the sole executable test self.len() == 0; the added local and UTF-8 reasoning are proof-only/administrative. The len contract is a distinct acyclic dependency.
alloc__string__String__len__15f71bf223fc,alloc::string::String::len,blocked,not_proved,`String::vec` is private to `alloc::string`. Accessing it downstream is impossible; using `as_bytes()` or a layout axiom would violate the fidelity requirements.
alloc__string__String__pop__819b164bf2e1,alloc::string::String::pop,blocked,not_proved,"String::vec is private, so `self.vec.set_len(newlen)` is inaccessible. Using `as_mut_vec`, another public substitute, or a representation axiom would violate source fidelity."
alloc__string__String__push__14dec04b25e7,alloc::string::String::push,blocked,not_proved,"The body directly accesses private String::vec and mutates it through raw pointers and Vec::set_len. Public alternatives such as String::as_mut_vec violate source fidelity, while sufficient representation axioms would effectively restate the target contract."
alloc__string__String__push_str__7c887db12168,alloc::string::String::push_str,blocked,not_proved,Private standard-library representation prevents copying the exact executable body.
alloc__string__String__reserve__c273160d611a,alloc::string::String::reserve,blocked,not_proved,A standalone Verus function cannot access String's private representation; using a public alternative or representation axiom would violate the fidelity requirements.
alloc__string__String__reserve_exact__6b47ed10149d,alloc::string::String::reserve_exact,blocked,not_proved,Private field visibility prevents expressing the source-faithful body in standalone downstream Verus.
alloc__string__String__shrink_to__7fe678679d4d,alloc::string::String::shrink_to,blocked,not_proved,"Public shrink APIs, `as_mut_vec`, or a representation bridge would violate the mandatory fidelity rules."
alloc__string__String__shrink_to_fit__7b6442ed46e7,alloc::string::String::shrink_to_fit,blocked,not_proved,Using String::as_mut_vec or another public shrink API would violate strict source fidelity; bridging the private representation would require a forbidden axiom.
alloc__string__String__split_off__b87a601ba86e,alloc::string::String::split_off,blocked,not_proved,"String::vec is crate-private, so `self.vec.split_off(at)` is inaccessible. Using `as_mut_vec` would replace the private operation, while a representation axiom would violate the fidelity requirements."
alloc__string__String__try_reserve__dbbf6f96b62b,alloc::string::String::try_reserve,blocked,not_proved,Standalone downstream Verus cannot access String::vec; public alternatives or a representation axiom would violate source fidelity.
alloc__string__String__try_reserve_exact__29faf78f85b4,alloc::string::String::try_reserve_exact,blocked,not_proved,"Standalone downstream Verus cannot access String::vec; using as_mut_vec, another public alternative, or a representation axiom would violate source fidelity."
alloc__string__String__with_capacity__d647741c5329,alloc::string::String::with_capacity,blocked,not_proved,Private `String::vec` visibility prevents expressing the source-faithful executable body.
alloc__sync__Arc__as_ptr__dee6762c8e6b,alloc::sync::Arc::as_ptr,blocked,not_proved,"A standalone function cannot name ArcInner or access Arc::ptr and ArcInner::data. Public alternatives violate source fidelity, while a representation axiom would effectively restate the target contract."
alloc__sync__Arc__assume_init__9a72c9c189ca,alloc::sync::Arc::assume_init,blocked,not_proved,"`Arc::into_inner_with_allocator`, `Arc::from_inner_in`, `ArcInner`, and Arc's fields are private. Public raw-pointer conversions would be an alternative algorithm, while a representation bridge is forbidden."
alloc__sync__Arc__into_inner__0447fb6aae1f,alloc::sync::Arc::into_inner,blocked,not_proved,"Rust privacy blocks Arc::inner, Arc::{ptr, alloc}, Weak field construction, and the internal acquire! macro. Public alternatives or representation axioms would violate source fidelity."
alloc__sync__Arc__new_uninit__1c86e85cb829,alloc::sync::Arc::new_uninit,blocked,not_proved,"Arc::allocate_for_layout, Arc::from_ptr, and ArcInner are private, and vstd provides no lower-level contracts for them. Public substitutes would violate source fidelity; a sufficient representation axiom would merely restate the target contract."
alloc__sync__Arc__new_uninit_slice__6b4d7aad9c4a,alloc::sync::Arc::new_uninit_slice,blocked,not_proved,"Arc::allocate_for_slice, Arc::from_ptr, and ArcInner are private. Public substitutes would violate source fidelity, while axiomatizing their result would effectively restate the target contract."
alloc__sync__Arc__new_zeroed_slice__fda903f1acda,alloc::sync::Arc::new_zeroed_slice,blocked,not_proved,"Arc::allocate_for_layout and Arc::from_ptr are private, and ArcInner is inaccessible. Public constructors or axiomatizing these internals would violate source fidelity."
alloc__sync__Arc__try_unwrap__7229d61b4f44,alloc::sync::Arc::try_unwrap,blocked,not_proved,"Rust privacy blocks Arc::inner, Arc::{ptr, alloc}, ArcInner fields, Weak field construction, and the internal acquire! macro. Public substitutes or representation axioms would violate source fidelity."
alloc__sync__Arc__unwrap_or_clone__4f2982199187,alloc::sync::Arc::unwrap_or_clone,proved,strict_faithful_admissible,Mechanically expands Result::unwrap_or_else into a match while preserving Arc::try_unwrap and cloning only on Err. The lower try_unwrap/Clone specifications are acyclic.
alloc__vec__IntoIter__as_slice__c46a419e1dc3,alloc::vec::IntoIter::as_slice,blocked,not_proved,"A downstream Verus function cannot access the pub(super) `IntoIter::ptr` field. Using `as_slice`, public substitutes, transmutation, or a representation axiom would be circular or violate source fidelity."
alloc__vec__Vec__into_boxed_slice__48abdcad57da,alloc::vec::Vec::into_boxed_slice,blocked,not_proved,"Vec::buf and RawVec::into_box are private alloc internals. Public substitutes would violate source fidelity, while axiomatizing their semantic bridge would restate the target contract."
alloc__vec__Vec__shrink_to__d7ce1cc7868a,alloc::vec::Vec::shrink_to,blocked,not_proved,Downstream Verus cannot access those internals. Public Vec APIs or a representation axiom would violate the required source fidelity.
alloc__vec__Vec__shrink_to_fit__d846a34b75a6,alloc::vec::Vec::shrink_to_fit,blocked,not_proved,Private standard-library representation and helper visibility prevent expressing the exact implementation downstream.
alloc__vec__Vec__try_reserve_exact__956e746d385d,alloc::vec::Vec::try_reserve_exact,blocked,not_proved,"Any accessible replacement would call the forbidden target, change the algorithm, or require a representation axiom effectively restating the contract."
core__array__each_ref__7acb141a5b1c,core::array::each_ref,blocked,not_proved,Verus rejects `&raw const` and has no specification for `transmute_unchecked`; a sufficient pointer-array-to-reference-array bridge would effectively restate the target contract.
core__array__from_ref__96301a67930e,core::array::from_ref,blocked,not_proved,Verus rejects the reference-to-raw-pointer coercion and raw dereference. Permission-based replacements require a forbidden T-to-[T; 1] representation bridge.
core__cmp__Ordering__is_eq__9ab95513a492,core::cmp::Ordering::is_eq,blocked,not_proved,"Ordering::as_raw is private and expands to core::intrinsics::discriminant_value, which Verus rejects. Specifying it requires a forbidden new representation axiom; replacing it with an enum match violates source fidelity."
core__cmp__Ordering__is_ge__5ccbe72a18bb,core::cmp::Ordering::is_ge,blocked,not_proved,"Ordering::as_raw is private and expands to core::intrinsics::discriminant_value, which Verus rejects. Specifying it requires a forbidden representation axiom; replacing it with an enum match violates source fidelity."
core__cmp__Ordering__is_gt__61237aeaa9b4,core::cmp::Ordering::is_gt,blocked,not_proved,"Ordering::as_raw is private and inlines to core::intrinsics::discriminant_value, which Verus rejects. Specifying it requires a forbidden representation axiom; replacing it with a match or cast violates strict fidelity."
core__cmp__Ordering__is_le__b179eed630f5,core::cmp::Ordering::is_le,blocked,not_proved,"Ordering::as_raw is private; inlining it requires core::intrinsics::discriminant_value, which Verus does not support. Replacing it or axiomatizing its result violates strict fidelity."
core__cmp__Ordering__is_lt__4072b61f9c3a,core::cmp::Ordering::is_lt,blocked,not_proved,"Ordering::as_raw is private; faithfully inlining it requires core::intrinsics::discriminant_value, which Verus does not support. Replacing or axiomatizing it violates strict fidelity."
core__cmp__Ordering__is_ne__9c94ff435797,core::cmp::Ordering::is_ne,blocked,not_proved,"Ordering::as_raw is private; inlining it reaches core::intrinsics::discriminant_value, which Verus rejects. Replacing it with a cast or enum match would violate source fidelity."
core__cmp__Ordering__reverse__bbe470a6a0b7,core::cmp::Ordering::reverse,proved,strict_faithful_admissible,Exact three-arm Ordering match; target postcondition is proved directly with no cycle or target-equivalent assumption.
core__cmp__Ordering__then__644b806dff9e,core::cmp::Ordering::then,proved,strict_faithful_admissible,"Exact Equal/other match, preserving receiver and branch behavior; target postcondition is direct."
core__cmp__max__cb8b32560a52,core::cmp::max,proved,known_mismatch_or_inadmissible,"Body exactly calls v1.max(v2), but proof relies on vstd ExOrd::max external specification whose ensures is the target postcondition itself."
core__cmp__max_by_key__a0e7c69cc97a,core::cmp::max_by_key,proved,strict_faithful_admissible,"Exact f(&v2) then f(&v1) evaluation, < comparison, and tie-to-v2 branch; only ordinary closure/comparison call specs are used."
core__cmp__min__e5875adde709,core::cmp::min,proved,known_mismatch_or_inadmissible,"Body exactly calls v1.min(v2), but proof relies on vstd ExOrd::min external specification whose ensures is the target postcondition itself."
core__cmp__min_by_key__368b5e9ea9e4,core::cmp::min_by_key,proved,strict_faithful_admissible,"Exact f(&v2) then f(&v1) evaluation, < comparison, and tie-to-v1 branch; no closure/order substitution."
core__convert__identity__b378b788faa0,core::convert::identity,proved,strict_faithful_admissible,Exact identity expression x; target postcondition is proved directly.
core__fmt__Result__and__9007b8eb4481,core::fmt::Result::and,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__copied__30ccaa6cfe8c,core::fmt::Result::copied,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof mechanically expands the reference pattern (for example Ok(&v)) into binding the reference and copying through a local; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__expect_err__a239e3d0f2fa,core::fmt::Result::expect_err,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the match and panic branch are preserved; the local unwrap_failed copy has the standard helper's panic body, and its false precondition is used only on the branch excluded by the target contract; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__flatten__132866477819,core::fmt::Result::flatten,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__inspect__7c19d8020127,core::fmt::Result::inspect,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__or__769759a197ec,core::fmt::Result::or,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__transpose__c85a8cbe8ce3,core::fmt::Result::transpose,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__unwrap_err_unchecked__7a02c0478a80,core::fmt::Result::unwrap_err_unchecked,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the match and unreachable_unchecked panic/UB branch are preserved exactly; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__unwrap_or__e8a45ea6d96d,core::fmt::Result::unwrap_or,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__unwrap_or_default__63f2427c8284,core::fmt::Result::unwrap_or_default,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__fmt__Result__unwrap_unchecked__d541b8a900b1,core::fmt::Result::unwrap_unchecked,proved,strict_faithful_admissible,"The displayed core::fmt::Result path normalizes an inherent core::result::Result method; the match, forget on the impossible error branch, and unreachable_unchecked call are preserved; the forget declaration has no target-level postcondition; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__hint__black_box__9ddfbfe5e763,core::hint::black_box,blocked,not_proved,Verus rejects core::intrinsics::black_box. Proving its identity result requires a forbidden new assume_specification equivalent to the target contract.
core__hint__select_unpredictable__cb4e6329228a,core::hint::select_unpredictable,blocked,not_proved,"Verus lacks contracts for select_unpredictable and the MaybeUninit raw-pointer drop protocol, and requires Drop implementations to be no_unwind. Supplying those assumptions would restate the target semantics and erase the guard's panic behavior."
core__mem__MaybeUninit__assume_init_read__60be66d1ddf6,core::mem::MaybeUninit::assume_init_read,proved,strict_faithful_admissible,"Copies assert_inhabited, as_ptr, and read exactly; the three assumptions specify those lower operations and form no cycle."
core__mem__replace__1b7f31e2bff3,core::mem::replace,blocked,not_proved,Verus rejects the required &mut T-to-raw-pointer coercion for read_via_copy/write_via_move. Using ptr::read/write or swap would violate source fidelity.
core__mem__take__df7d8fca8693,core::mem::take,proved,strict_faithful_admissible,"Exact replace(dest, T::default()) body; only the lower replace contract is assumed."
core__ops__Bound__as_ref__2e629a312a49,core::ops::Bound::as_ref,proved,strict_faithful_admissible,Exact Included/Excluded/Unbounded match with the same reference binding; direct acyclic proof.
core__ops__ControlFlow__break_ok__540b8a098187,core::ops::ControlFlow::break_ok,proved,strict_faithful_admissible,Exact Continue-to-Err and Break-to-Ok match; target postcondition is present and direct.
core__ops__ControlFlow__break_value__649a18cc21ec,core::ops::ControlFlow::break_value,proved,strict_faithful_admissible,Exact Continue-to-None and Break-to-Some match; only binder renaming differs.
core__ops__ControlFlow__continue_ok__dcaefa271af9,core::ops::ControlFlow::continue_ok,proved,strict_faithful_admissible,Exact Continue-to-Ok and Break-to-Err match; target postcondition is present and direct.
core__ops__ControlFlow__continue_value__d185eb039c99,core::ops::ControlFlow::continue_value,proved,strict_faithful_admissible,Exact Continue-to-Some and Break-to-None match; only binder renaming differs.
core__ops__ControlFlow__is_break__0d81fd185305,core::ops::ControlFlow::is_break,proved,strict_faithful_admissible,"matches!(*self, Break(_)) is mechanically expanded to the equivalent two-arm match; direct proof."
core__ops__ControlFlow__is_continue__0780165ecf6b,core::ops::ControlFlow::is_continue,proved,strict_faithful_admissible,Exact matches! expression for Continue; target postcondition is direct.
core__ops__Range__is_empty__d2b31db6056e,core::ops::Range::is_empty,proved,strict_faithful_admissible,Exact !(start < end) operation is A-normalized through a local; added proof block is ghost-only.
core__ops__RangeInclusive__end__be02060965fb,core::ops::RangeInclusive::end,blocked,not_proved,"RangeInclusive::end is a private field. Calling end() is circular, while public alternatives, layout tricks, or representation axioms violate source fidelity."
core__ops__RangeInclusive__into_inner__c494e1636211,core::ops::RangeInclusive::into_inner,blocked,not_proved,"No source-faithful downstream implementation can access these fields. Public accessors only borrow them, while into_inner is the forbidden target; a representation axiom would merely restate the contract."
core__ops__RangeInclusive__is_empty__615a07d2fc35,core::ops::RangeInclusive::is_empty,blocked,not_proved,"RangeInclusive fields start, end, and exhausted are private. Public methods cannot expose exhausted, and substituting APIs or adding a representation axiom violates source fidelity."
core__ops__RangeInclusive__start__cbbb19f1bf01,core::ops::RangeInclusive::start,blocked,not_proved,"RangeInclusive::start is a private field. Calling start() is circular, while public alternatives, layout tricks, or representation axioms violate source fidelity."
core__ops__RangeTo__contains__28bbba7b521d,core::ops::RangeTo::contains,proved,strict_faithful_admissible,The RangeBounds::contains delegation is mechanically inlined to its exact start/end-bound matches and short-circuit && body.
core__ops__RangeToInclusive__contains__f0f89a7190e8,core::ops::RangeToInclusive::contains,proved,strict_faithful_admissible,"The RangeBounds::contains delegation is mechanically inlined exactly, preserving bound-match and short-circuit order."
core__option__Option__and__39e5364ceb58,core::option::Option::and,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__as_deref__eff0361ceb2c,core::option::Option::as_deref,proved,strict_faithful_admissible,"the as_ref().map(Deref::deref) operation chain is preserved exactly and relies only on smaller acyclic operation contracts; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__copied__ff9db01f8dd9,core::option::Option::copied,proved,strict_faithful_admissible,"the proof mechanically expands the reference pattern (for example Ok(&v)) into binding the reference and copying through a local; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__flatten__d38a846054ef,core::option::Option::flatten,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__inspect__a6860e3c8c16,core::option::Option::inspect,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__is_none_or__2ff37288a6c9,core::option::Option::is_none_or,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__is_some_and__b28ba451f3c7,core::option::Option::is_some_and,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__or__7a0e8dceacad,core::option::Option::or,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__replace__5410685498b4,core::option::Option::replace,proved,strict_faithful_admissible,"the executable body is the exact mem::replace call; its assumed contract is a smaller acyclic standard-library operation, not a target-equivalent axiom; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
core__option__Option__transpose__9c633335f013,core::option::Option::transpose,proved,strict_faithful_admissible,"the proof preserves the Rust match/conditional, branch results, and closure calls exactly, with only receiver-to-argument conversion, qualification, or local renaming; all manifest requires/ensures are present, with no target/peer cycle or target-equivalent axiom."
