id,api_path,raw_target,pre_audit_label,campaign_status,proof_object,body_fidelity,proof_admissibility,strict_verdict,proof_bundle,contains_unrelated_target,trust_level,resolved_source_path,resolved_source_lines,reason
raw_ptr.rs__L221__const__T__as__PartialEq__const__T__eq,core::cmp::PartialEq::eq,<*const T as PartialEq<*const T>>::eq,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,C,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/ptr/const_ptr.rs,1594-1600,"The concrete *const T PartialEq::eq body is the builtin expression `*self == *other`. The proof replaces it with `addr() == addr() && metadata() == metadata()`, an equivalent public-method decomposition rather than syntax desugaring. Its assumed metadata specification and axiom equating Metadata PartialEqSpec with mathematical equality supply the essential target semantics."
raw_ptr.rs__L401__core__ptr__null,core::ptr::null,core::ptr::null,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
raw_ptr.rs__L403__core__ptr__null,core::ptr::null,core::ptr::null,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
raw_ptr.rs__L422__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
raw_ptr.rs__L424__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
slice.rs__L83__T__len,core::slice::len,<[T]>::len,unverified,proved,local_surrogate,circular_or_target_axiom,circular_or_target_axiom,known_mismatch_or_inadmissible,,False,C,,,A metadata-from-reference axiom directly equates pointer metadata with target slice length.
slice.rs__L93__T__is_empty,core::slice::is_empty,<[T]>::is_empty,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
slice.rs__L133__T__get__I,core::slice::get,<[T]>::get::<I>,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Verus rejects `core::slice::index::SliceIndex::get` as unsupported. Its generic sealed-trait implementation is inaccessible downstream; asserting its result equals `spec_slice_get` would merely restate the target contract.
std_specs__alloc.rs__L15__alloc__boxed__box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/alloc/src/boxed.rs,264-268,"The Rust body is `unsafe { (b.assume_init() as Box<[T]>).into_vec() }`; the proof only names the initialized box and unsized box separately. The called Box<[T]>::into_vec is concrete at alloc/src/slice.rs:480-485, so this is an acyclic mechanical expansion."
std_specs__alloc.rs__L26__alloc__intrinsics__write_box_via_move,alloc::intrinsics::write_box_via_move,alloc::intrinsics::write_box_via_move,unverified,proved,local_surrogate,source_unavailable,unresolved,source_unresolved,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/alloc/src/intrinsics.rs,14-15,"Rust 1.96 library source contains only the #[rustc_intrinsic] declaration and no executable Rust body. The proof assignment may describe intended semantics, but fidelity to the compiler intrinsic cannot be established from rust/library."
std_specs__alloc.rs__L36__alloc__boxed__Box__T__new_uninit,alloc::boxed::Box::new_uninit,alloc::boxed::Box::<T>::new_uninit,unverified,proved,local_surrogate,alternate_implementation,not_admissible_under_strict_policy,known_mismatch_or_inadmissible,,False,B,,,The source allocation intrinsic/transmute is replaced by public Box/MaybeUninit construction.
std_specs__bits.rs__L48__u8__trailing_zeros,core::u8::trailing_zeros,u8::trailing_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,177-179; 583-607 (u8 invocation),"uint_impl! expands u8::trailing_zeros to the single compiler intrinsic call `cttz` (`return intrinsics::cttz(self)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_cttz_u8 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u8_trailing_zeros axiom to establish the target result."
std_specs__bits.rs__L54__u8__trailing_ones,core::u8::trailing_ones,u8::trailing_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,224-226; 583-607 (u8 invocation),uint_impl! expands u8::trailing_ones exactly to `(!self).trailing_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L60__u8__leading_zeros,core::u8::leading_zeros,u8::leading_zeros,unverified,proved,local_surrogate,mechanical_desugaring,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,D,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,153-155; 583-607 (u8 invocation),"uint_impl! expands u8::leading_zeros to `return intrinsics::ctlz(self as u8)`, and source_u8_leading_zeros executes that same intrinsic call; proof blocks are non-executable. Admissibility is not ordinary because axiom_compiler_ctlz_u8 directly supplies the equivalence between the compiler intrinsic result and the target vstd leading-zero specification."
std_specs__bits.rs__L66__u8__leading_ones,core::u8::leading_ones,u8::leading_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,200-202; 583-607 (u8 invocation),uint_impl! expands u8::leading_ones exactly to `(!self).leading_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L218__u16__trailing_zeros,core::u16::trailing_zeros,u16::trailing_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,177-179; 1231-1255 (u16 invocation),"uint_impl! expands u16::trailing_zeros to the single compiler intrinsic call `cttz` (`return intrinsics::cttz(self)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_cttz_u16 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u16_trailing_zeros axiom to establish the target result."
std_specs__bits.rs__L224__u16__trailing_ones,core::u16::trailing_ones,u16::trailing_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,224-226; 1231-1255 (u16 invocation),uint_impl! expands u16::trailing_ones exactly to `(!self).trailing_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L230__u16__leading_zeros,core::u16::leading_zeros,u16::leading_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,153-155; 1231-1255 (u16 invocation),"uint_impl! expands u16::leading_zeros to the single compiler intrinsic call `ctlz` (`return intrinsics::ctlz(self as ActualT)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_ctlz_u16 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u16_leading_zeros axiom to establish the target result."
std_specs__bits.rs__L236__u16__leading_ones,core::u16::leading_ones,u16::leading_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,200-202; 1231-1255 (u16 invocation),uint_impl! expands u16::leading_ones exactly to `(!self).leading_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L394__u32__trailing_zeros,core::u32::trailing_zeros,u32::trailing_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,177-179; 1287-1311 (u32 invocation),"uint_impl! expands u32::trailing_zeros to the single compiler intrinsic call `cttz` (`return intrinsics::cttz(self)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_cttz_u32 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u32_trailing_zeros axiom to establish the target result."
std_specs__bits.rs__L400__u32__trailing_ones,core::u32::trailing_ones,u32::trailing_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,224-226; 1287-1311 (u32 invocation),uint_impl! expands u32::trailing_ones exactly to `(!self).trailing_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L406__u32__leading_zeros,core::u32::leading_zeros,u32::leading_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,153-155; 1287-1311 (u32 invocation),"uint_impl! expands u32::leading_zeros to the single compiler intrinsic call `ctlz` (`return intrinsics::ctlz(self as ActualT)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_ctlz_u32 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u32_leading_zeros axiom to establish the target result."
std_specs__bits.rs__L412__u32__leading_ones,core::u32::leading_ones,u32::leading_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,200-202; 1287-1311 (u32 invocation),uint_impl! expands u32::leading_ones exactly to `(!self).leading_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L571__u64__trailing_zeros,core::u64::trailing_zeros,u64::trailing_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,177-179; 1319-1343 (u64 invocation),"uint_impl! expands u64::trailing_zeros to the single compiler intrinsic call `cttz` (`return intrinsics::cttz(self)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_cttz_u64 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u64_trailing_zeros axiom to establish the target result."
std_specs__bits.rs__L577__u64__trailing_ones,core::u64::trailing_ones,u64::trailing_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,224-226; 1319-1343 (u64 invocation),uint_impl! expands u64::trailing_ones exactly to `(!self).trailing_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__bits.rs__L583__u64__leading_zeros,core::u64::leading_zeros,u64::leading_zeros,unverified,proved,local_surrogate,alternate_implementation,target_equivalent_axiom,known_mismatch_or_inadmissible,,False,A,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,153-155; 1319-1343 (u64 invocation),"uint_impl! expands u64::leading_zeros to the single compiler intrinsic call `ctlz` (`return intrinsics::ctlz(self as ActualT)`). The source_* wrapper instead calls a hand-written source_core_intrinsics_ctlz_u64 scan/recurrence. That is an alternate algorithm, not a mechanical expansion of the intrinsic, and its proof invokes the imported u64_leading_zeros axiom to establish the target result."
std_specs__bits.rs__L589__u64__leading_ones,core::u64::leading_ones,u64::leading_ones,verified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/uint_macros.rs; /home/chentianyu/nanvix-rust-std-spec-survey/rust/library/core/src/num/mod.rs,200-202; 1319-1343 (u64 invocation),uint_impl! expands u64::leading_ones exactly to `(!self).leading_zeros()`. The source_* body has that same executable expression after receiver-to-argument substitution. Its call to the corresponding zero-count method is a one-way ordinary dependency; no local axiom or back-edge is introduced.
std_specs__btree.rs__L204__BTreeMap__Key__Value__A__iter,alloc::collections::BTreeMap::iter,"BTreeMap::<Key, Value, A>::iter",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A standalone downstream Verus function cannot copy this control flow or construct btree_map::Iter; any bridge would restate or circularly invoke the target contract.
std_specs__btree.rs__L376__BTreeMap__Key__Value__A__len,alloc::collections::BTreeMap::len,"BTreeMap::<Key, Value, A>::len",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A standalone function cannot access `m.length`. Any representation bridge relating that field to `spec_btree_map_len(m)` would restate the target contract as an axiom.
std_specs__btree.rs__L383__BTreeMap__Key__Value__A__is_empty,alloc::collections::BTreeMap::is_empty,"BTreeMap::<Key, Value, A>::is_empty",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,An unconditional bridge from BTreeMap::len() to m@.is_empty() would restate the missing target fact as an axiom.
std_specs__btree.rs__L390__BTreeMap__K__V__A__as__Clone__clone,core::clone::Clone::clone,"<BTreeMap::<
    K,
    V,
    A,
> as Clone>::clone",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"The equality contract is false for arbitrary Clone implementations: cloning a value may change it, so other@ need not equal this@. The source body also depends on private BTreeMap fields and private node types, preventing a meaningful downstream source-faithful proof."
std_specs__btree.rs__L399__BTreeMap__Key__Value__new,alloc::collections::BTreeMap::new,"BTreeMap::<Key, Value>::new",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Verus rejects the source-faithful struct literal as a constructor for an opaque datatype. A downstream axiom connecting that private representation to the empty map view would merely restate the target contract.
std_specs__btree.rs__L404__BTreeMap__K__V__as__core__default__Default__default,core::default::Default::default,"<BTreeMap<K, V> as core::default::Default>::default",verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/alloc/src/collections/btree/map.rs,2598-2602,Both the concrete Default impl and source_btree_map_default return BTreeMap::new() with identical executable control flow.
std_specs__btree.rs__L410__BTreeMap__Key__Value__A__insert,alloc::collections::BTreeMap::insert,"BTreeMap::<
    Key,
    Value,
    A,
>::insert",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"Verus rejects Entry, OccupiedEntry, and VacantEntry as unsupported. Modeling the private occupied/vacant representations requires forbidden external_body; an axiom linking their branches to the final map view would restate the missing target behavior."
std_specs__btree.rs__L456__BTreeMap__Key__Value__A__contains_key__Q,alloc::collections::BTreeMap::contains_key,"BTreeMap::<Key, Value, A>::contains_key::<Q>",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"The required generic bridge `maps_borrowed_key_to_value(m, key, value) ==> contains_borrowed_key(m, key)` is a central trusted model axiom that reconstitutes the target's core obligation for arbitrary `Key: Borrow<Q>`. vstd provides no downstream derivation for arbitrary borrowed keys, so accepting it would be Level E rather than an allowed representation fact."
std_specs__btree.rs__L461__BTreeMap__Key__Value__A__contains_key__Q,alloc::collections::BTreeMap::contains_key,"BTreeMap::<Key, Value, A>::contains_key::<Q>",unverified,proved,local_surrogate,exact_body,missing_target_postcondition,known_mismatch_or_inadmissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code. The copied body is exact, but source_btree_map_contains_key has no target ensures clause, so the accepting function does not prove the contract."
std_specs__btree.rs__L504__BTreeMap__Key__Value__A__get__Q,alloc::collections::BTreeMap::get,"BTreeMap::<Key, Value, A>::get::<Q>",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,Any bridge from the private search result to m@ and the borrowed-key predicates would restate the target contract as an axiom.
std_specs__btree.rs__L510__BTreeMap__Key__Value__A__get__Q,alloc::collections::BTreeMap::get,"BTreeMap::<Key, Value, A>::get::<Q>",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"Any axiom bridging those private search results to m@, contains_borrowed_key, and maps_borrowed_key_to_value would effectively restate the target contract rather than prove it."
std_specs__btree.rs__L562__BTreeMap__Key__Value__A__remove__Q,alloc::collections::BTreeMap::remove,"BTreeMap::<Key, Value, A>::remove::<Q>",unverified,proved,local_surrogate,mechanical_desugaring,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"remove_entry(...).map(|(_, v)| v) is mechanically expanded to an equivalent match."
std_specs__btree.rs__L567__BTreeMap__Key__Value__A__remove__Q,alloc::collections::BTreeMap::remove,"BTreeMap::<Key, Value, A>::remove::<Q>",unverified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,,,"Executable operations/control flow match the Rust source; differences are receiver/local renaming, qualification, or Verus-only annotations and ghost code."
std_specs__btree.rs__L579__BTreeMap__Key__Value__A__clear,alloc::collections::BTreeMap::clear,"BTreeMap::<Key, Value, A>::clear",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A standalone downstream function cannot source-faithfully access these fields or construct the private representation. Any bridge proving that those mutations yield an empty view would restate the target contract as an axiom.
std_specs__btree.rs__L609__BTreeMap__Key__Value__A__keys,alloc::collections::BTreeMap::keys,"BTreeMap::<Key, Value, A>::keys",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"A standalone function cannot construct a map-dependent `Keys` from `Iter` without calling the target method. An unsafe layout bridge would still require an axiom equating it with opaque `spec_keys_iter(m)`, restating the target contract."
std_specs__btree.rs__L641__BTreeMap__Key__Value__A__values,alloc::collections::BTreeMap::values,"BTreeMap::<Key, Value, A>::values",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"Verus rejects the source-faithful struct literal as an opaque-datatype constructor. No public API converts `Iter` into `Values`; `Default` is empty and cloning requires an existing `Values`. Calling `BTreeMap::values` is forbidden, while any bridge would restate the target contract."
std_specs__btree.rs__L739__BTreeSet__Key__A__len,alloc::collections::BTreeSet::len,"BTreeSet::<Key, A>::len",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,vstd exposes no BTreeSet-to-BTreeMap representation bridge. Any axiom sufficient to replace the inaccessible field access and relate map.len() to spec_btree_set_len would restate the target contract.
std_specs__btree.rs__L746__BTreeSet__Key__A__is_empty,alloc::collections::BTreeSet::is_empty,"BTreeSet::<Key, A>::is_empty",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A standalone proof cannot derive the required unconditional len/view bridge from public vstd facts. Adding it would effectively replace the missing target semantics with a private-representation axiom.
std_specs__btree.rs__L753__BTreeSet__K__A__as__Clone__clone,core::clone::Clone::clone,"<BTreeSet::<K, A> as Clone>::clone",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"`map` and its `SetValZST` representation are private, so the exact body cannot be expressed downstream. More importantly, `K: Clone` alone does not establish that cloned keys equal the originals; an incrementing key clone yields a different cloned set. The supplied unconditional view-equality contract therefore needs a missing clone-law premise, and an axiom providing it would hide the central obligation."
std_specs__btree.rs__L760__BTreeSet__Key__new,alloc::collections::BTreeSet::new,BTreeSet::<Key>::new,unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A standalone downstream Verus function cannot express `BTreeSet { map: BTreeMap::new() }`. An axiom relating a replacement construction to the empty set view would restate the target contract rather than prove it.
std_specs__btree.rs__L765__BTreeSet__T__as__core__default__Default__default,core::default::Default::default,<BTreeSet<T> as core::default::Default>::default,verified,proved,local_surrogate,exact_body,ordinary_acyclic,strict_faithful_admissible,,False,B,/home/chentianyu/nanvix-rust-std-spec-survey/rust/library/alloc/src/collections/btree/set.rs,1640-1644,Both the concrete Default impl and source_btree_set_default return BTreeSet::new() with identical executable control flow.
std_specs__btree.rs__L772__BTreeSet__Key__A__insert,alloc::collections::BTreeSet::insert,"BTreeSet::<Key, A>::insert",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,"vstd exposes only BTreeSet's abstract Set view, with no bridge to its backing BTreeMap. A bridge sufficient to derive insertion behavior would effectively restate the target contract as an axiom."
std_specs__btree.rs__L809__BTreeSet__Key__A__contains,alloc::collections::BTreeSet::contains,"BTreeSet::<
    Key,
    A,
>::contains",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,No public lower-level contract bridges BTreeSet's representation to set_contains_borrowed_key for arbitrary Borrow<Q>; BTreeSet::get also lacks the needed generic Some-to-membership relation and no_unwind guarantee. Adding either bridge would effectively assume the target behavior.
std_specs__btree.rs__L848__BTreeSet__Key__A__get__Q,alloc::collections::BTreeSet::get,"BTreeSet::<Key, A>::get::<Q>",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A downstream standalone Verus function cannot access `self.map`; an axiom sufficient to substitute another search would restate the target contract.
std_specs__btree.rs__L853__BTreeSet__Key__A__get__Q,alloc::collections::BTreeSet::get,"BTreeSet::<Key, A>::get::<Q>",unverified,blocked,no_passing_artifact,,,no_passing_artifact,,False,,,,A downstream source-faithful function cannot project self.map. Any axiom connecting its inaccessible search result to m@ and the generic borrowed-key predicates would restate the target contract.
