input_order,target,semantic_family,active_contract_sha256,baseline_exact_output_determinism_status,effective_exact_output_determinism_status,baseline_completeness_modulo_reviewed_equivalence_status,effective_completeness_modulo_reviewed_equivalence_status,classification_source_kind,model_id,addendum_path,result_manifest_path,accepting_review_path,exact_obligation_path,full_obligation_path,nonvacuity_path
51,core::slice::get_disjoint_mut,mutation-frame-and-permutation,65402a0e5a620790d6f1413ab49efa952f05d939b14bf1066e92da32f7cd548a,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/051_core_slice_get_disjoint_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T150040Z.md,,,
52,core::slice::get_disjoint_unchecked_mut,mutation-frame-and-permutation,98e2ff139533e1b36cd1ecef3a408b5045f5780bf76ff9a04f2b8f34879e368b,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/052_core_slice_get_disjoint_unchecked_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T153731Z.md,,,
53,core::slice::get_mut,basic-observation-and-conversion,87a9796fc553d16e3e75cfe5ea9196e6482c5088d278a2f10112c31107e74f9c,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/053_core_slice_get_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T111757Z.md,,,
54,core::slice::get_unchecked,raw-pointer-and-provenance,71eedef5ee0aa574329fe132e65757563db0764095f5cc5dbdf2911acc0b4aad,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/054_core_slice_get_unchecked/result.json,review/REVIEW_ACCEPTANCE_20260901T111757Z.md,,,
55,core::slice::get_unchecked_mut,raw-pointer-and-provenance,ec6f48bf7b072e49afdad4bacb69dc2288ec2047621c339df4614e01b612903f,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/055_core_slice_get_unchecked_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T111757Z.md,,,
62,core::slice::last_chunk_mut,iterator-splitting-and-chunking,32a4497f959b05a42448f7ea2a070f4e3635c1b46d5c08628772d7601f9f9e57,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/062_core_slice_last_chunk_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T064245Z.md,,,
65,core::slice::partition_point,search-prefix-suffix-ordering,f28650f03f1c7e571f308b88c4dea8453057ce7b4b33946af0745ae5517fd695,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/065_core_slice_partition_point/result.json,review/REVIEW_ACCEPTANCE_20260831T184122Z.md,,,
68,core::slice::rchunks_exact_mut,iterator-splitting-and-chunking,64f0260c2044e5b2b440a7c66eb354d3685862070f8ad8979838a571fbe47afe,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/068_core_slice_rchunks_exact_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T055412Z.md,,,
69,core::slice::rchunks_mut,iterator-splitting-and-chunking,d486130bfa74afb7939ee7ea71e97c4eeda6d17e9c9ded51d0a48b9aff81736c,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/069_core_slice_rchunks_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
74,core::slice::rsplit_mut,iterator-splitting-and-chunking,949691a0b75b3e64a19af9ef95077e0bbdd4530b19a01d6742a38be652431148,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/074_core_slice_rsplit_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
76,core::slice::rsplitn_mut,iterator-splitting-and-chunking,c7b8151e61d9ad4d7b0ba9c3669fcee75ca3acc98ea2741f3b162df19efe113f,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/076_core_slice_rsplitn_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
77,core::slice::select_nth_unstable,sorting-and-selection,e570c36bf97546100d3408a95ea9c5f821ba0aed6ebe0e63ef6358d7d713fdaf,conditional-incomplete,conditional-incomplete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/077_core_slice_select_nth_unstable/result.json,review/REVIEW_ACCEPTANCE_20260831T225709Z.md,,,
78,core::slice::select_nth_unstable_by,sorting-and-selection,8d197563a2e9735beef3c52ff46ea5d3dd44da47b48e3b199654cf3c667490d7,missing-source-backed-model,conditional-complete,missing-source-backed-model,conditional-complete,accepted-operational-v1-overlay,target-078-operational-v1-rust-1.96-complete,crosswalk/target_078_operational_v1_addendum.json,evidence/target_078_operational_v1/result.json,review/REVIEW_ADDENDUM_TARGET_078_OPERATIONAL_V1.md,evidence/target_078_operational_v1/exact_output_obligation.smt2,evidence/target_078_operational_v1/obligation.smt2,evidence/target_078_operational_v1/nonvacuity.smt2
79,core::slice::select_nth_unstable_by_key,sorting-and-selection,9366859a88badc5f8d8cdfb15fbc544ef81edb756429e14a887b1ce6c73e3e95,missing-source-backed-model,conditional-complete,missing-source-backed-model,conditional-complete,accepted-operational-v1-overlay,target-079-key-ord-drop-operational-v1-rust-1.96-complete,crosswalk/target_079_operational_v1_addendum.json,evidence/target_079_operational_v1/result.json,review/REVIEW_ADDENDUM_TARGET_079_OPERATIONAL_V1.md,evidence/target_079_operational_v1/exact_output_obligation.smt2,evidence/target_079_operational_v1/obligation.smt2,evidence/target_079_operational_v1/nonvacuity.smt2
80,core::slice::sort_unstable,sorting-and-selection,877e37bea31dc31a92b85282f1d2f633c20aeb5391a5f1f02821cbfa0a09dd4b,conditional-incomplete,conditional-incomplete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/080_core_slice_sort_unstable/result.json,review/REVIEW_ACCEPTANCE_20260831T213648Z.md,,,
81,core::slice::sort_unstable_by,sorting-and-selection,420e250d3b0ae471b64eb3d6474588eaec8acfc7644b5c1dd4420e4c1b2c0597,conditional-incomplete,conditional-incomplete,conditional-incomplete,conditional-incomplete,certified-baseline,,,evidence/targets/081_core_slice_sort_unstable_by/result.json,review/REVIEW_ACCEPTANCE_20260831T125401Z.md,,,
82,core::slice::sort_unstable_by_key,sorting-and-selection,019252db65344fd8830ffbbd90d127355a93541c6fbfab3fde3e6b3abe16e8ae,conditional-incomplete,conditional-incomplete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/082_core_slice_sort_unstable_by_key/result.json,review/REVIEW_ACCEPTANCE_20260831T213648Z.md,,,
85,core::slice::split_at_mut_checked,iterator-splitting-and-chunking,f545d70fd2f00566e6847d457980a532ef48cdc82fe2e12eba1be9ccff4aebd6,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/085_core_slice_split_at_mut_checked/result.json,review/REVIEW_ACCEPTANCE_20260901T072051Z.md,,,
86,core::slice::split_at_mut_unchecked,iterator-splitting-and-chunking,dfe96dd890e058e02f390e85bdfce250a48823c9e43c15ad599961b2f28f2da9,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/086_core_slice_split_at_mut_unchecked/result.json,review/REVIEW_ACCEPTANCE_20260901T072051Z.md,,,
90,core::slice::split_first_chunk_mut,iterator-splitting-and-chunking,eb599a67a0f7b786e404c9b3f97181b56e9b01bb82f3cc21822b93d2d46ab950,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/090_core_slice_split_first_chunk_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T064245Z.md,,,
91,core::slice::split_first_mut,iterator-splitting-and-chunking,ba139fadbde88d928fe18d330586ce8184d3de7a0d45938733e7231bd1320b11,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/091_core_slice_split_first_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T034008Z.md,,,
93,core::slice::split_inclusive_mut,iterator-splitting-and-chunking,d0f84cc808519d278a4020ddeff02c6979d9d3e9e06d6880ec28c354d0e57fe5,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/093_core_slice_split_inclusive_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
96,core::slice::split_last_chunk_mut,iterator-splitting-and-chunking,0c9131cd588a99217fc333ad32e54ac62deaf95cfc245fffb3523ba683296ce5,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/096_core_slice_split_last_chunk_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T064245Z.md,,,
97,core::slice::split_last_mut,iterator-splitting-and-chunking,3039d0b8c54beb0cb99102305eb5e9b69b95dbbfd6839f26a149c9198ca962d6,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/097_core_slice_split_last_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T034008Z.md,,,
98,core::slice::split_mut,iterator-splitting-and-chunking,81cedd197710c3392a77bf21e9d0efe0bf6919c268ccbddebf0d3898ab138879,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/098_core_slice_split_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T024835Z.md,,,
99,core::slice::split_off,iterator-splitting-and-chunking,980c0fc48d42c16666be982fb8949777aea4c339d73a52ba80f62fded2ae7085,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/099_core_slice_split_off/result.json,review/REVIEW_ACCEPTANCE_20260901T080418Z.md,,,
101,core::slice::split_off_first_mut,iterator-splitting-and-chunking,fb2805dd3aa3b506b48de88fdc75518d217820aceb32543f31d6d0ef40446728,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/101_core_slice_split_off_first_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T034008Z.md,,,
103,core::slice::split_off_last_mut,iterator-splitting-and-chunking,1f03e74ea8d7d4c774711bb8af028cbed32e1401810479f58803a6de7a426f4d,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/103_core_slice_split_off_last_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T034008Z.md,,,
104,core::slice::split_off_mut,iterator-splitting-and-chunking,74829510395c909f4449ed0dd06a0ac44332151e2a9d1feba392c5728e616e99,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/104_core_slice_split_off_mut/result.json,review/REVIEW_ACCEPTANCE_20260901T080418Z.md,,,
106,core::slice::splitn_mut,iterator-splitting-and-chunking,8fb38da00d00aea693a93e948863b8ab7bf6d6d2e6e4662345ad50d9a923d3db,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/106_core_slice_splitn_mut/result.json,review/REVIEW_ACCEPTANCE_20260831T122239Z.md,,,
111,core::slice::subslice_range,raw-pointer-and-provenance,efa221cefc2e3ffa897082292c658fd9163e1e151be34c08189360d0b01729bb,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/111_core_slice_subslice_range/result.json,review/REVIEW_ACCEPTANCE_20260901T121316Z.md,,,
119,core::slice::write_clone_of_slice,maybe-uninit-slice-storage,0e3746ad6530835f74de584a989ea1c6126fdb297454de35509cbdb05fd8c54b,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/119_core_slice_write_clone_of_slice/result.json,review/REVIEW_ACCEPTANCE_20260831T205556Z.md,,,
120,core::slice::write_copy_of_slice,maybe-uninit-slice-storage,09f266d66c804f7e0f5f296f4050ba156240da188db824b5f5f6efc0a0145e69,conditional-complete,conditional-complete,conditional-complete,conditional-complete,certified-baseline,,,evidence/targets/120_core_slice_write_copy_of_slice/result.json,review/REVIEW_ACCEPTANCE_20260831T142401Z.md,,,
