canonical_target,source_signature,source_location,copied_source_path,coverage_contract_evidence,vstd_copied_path,vstd_declaration_line,vstd_declaration,target_binding_status,receiver_shape_status,parameter_shape_status,return_shape_status,generic_bounds_status,exact_match_status
alloc::vec::Vec::pop,pub fn pop(&mut self) -> Option<T>,alloc/src/vec/mod.rs:2853,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:146,vstd-baseline/std_specs/vec.rs,146,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::pop ](vec: &mut Vec<T, A>) -> (value: Option<T>) ensures old(vec)@.len() > 0 ==> value == Some(old(vec)@[old(vec)@.len() - 1]) && final(vec)@ == old(vec)@.subrange(0, old(vec)@.len() - 1), old(vec)@.len() == 0 ==> value == None::<T> && final(vec)@ == old(vec)@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::push,"pub fn push(&mut self, value: T)",alloc/src/vec/mod.rs:1001,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:141,vstd-baseline/std_specs/vec.rs,141,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::push ](vec: &mut Vec<T, A>, value: T) ensures final(vec)@ == old(vec)@.push(value),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::remove,"pub fn remove(&mut self, index: usize) -> T",alloc/src/vec/mod.rs:2404,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:220,vstd-baseline/std_specs/vec.rs,220,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::remove ]( vec: &mut Vec<T, A>, i: usize, ) -> (element: T) requires i < old(vec).len(), ensures element == old(vec)[i as int], final(vec)@ == old(vec)@.remove(i as int),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::reserve,"pub fn reserve(&mut self, additional: usize)",alloc/src/vec/mod.rs:1468,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:125,vstd-baseline/std_specs/vec.rs,125,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::reserve ]( vec: &mut Vec<T, A>, additional: usize, ) ensures final(vec)@ == old(vec)@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::reserve_exact,"pub fn reserve_exact(&mut self, additional: usize)",alloc/src/vec/mod.rs:1498,rust-alloc-vec/vec/mod.rs,std_specs/capacity.rs:42,vstd-baseline/std_specs/capacity.rs,42,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::reserve_exact ]( v: &mut Vec<T, A>, additional: usize, ) ensures final(v)@ == old(v)@, final(v).spec_capacity() >= old(v)@.len() + additional as nat,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::resize,"pub fn resize(&mut self, new_len: usize, value: T)",alloc/src/vec/mod.rs:3532,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:306,vstd-baseline/std_specs/vec.rs,306,"pub assume_specification<T: Clone, A: Allocator>[ Vec::<T, A>::resize ]( vec: &mut Vec<T, A>, len: usize, value: T, ) ensures len <= old(vec).len() ==> final(vec)@ == old(vec)@.subrange(0, len as int), len > old(vec).len() ==> { &&& final(vec)@.len() == len &&& final(vec)@.subrange(0, old(vec).len() as int) == old(vec)@ &&& forall|i| #![all_triggers] old(vec).len() <= i < len ==> cloned::<T>(value, final(vec)@[i]) },",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::shrink_to,"pub fn shrink_to(&mut self, min_capacity: usize)",alloc/src/vec/mod.rs:1631,rust-alloc-vec/vec/mod.rs,std_specs/capacity.rs:67,vstd-baseline/std_specs/capacity.rs,67,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::shrink_to ]( v: &mut Vec<T, A>, min_capacity: usize, ) ensures final(v)@ == old(v)@, final(v).spec_capacity() >= old(v)@.len(), final(v).spec_capacity() <= old(v).spec_capacity(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::shrink_to_fit,pub fn shrink_to_fit(&mut self),alloc/src/vec/mod.rs:1602,rust-alloc-vec/vec/mod.rs,std_specs/capacity.rs:60,vstd-baseline/std_specs/capacity.rs,60,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::shrink_to_fit ](v: &mut Vec<T, A>) ensures final(v)@ == old(v)@, final(v).spec_capacity() >= old(v)@.len(), final(v).spec_capacity() <= old(v).spec_capacity(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::split_off,"pub fn split_off(&mut self, at: usize) -> Self where A: Clone,",alloc/src/vec/mod.rs:3121,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:263,vstd-baseline/std_specs/vec.rs,263,"pub assume_specification<T, A: Allocator + core::clone::Clone>[ Vec::<T, A>::split_off ]( vec: &mut Vec<T, A>, at: usize, ) -> (return_value: Vec<T, A>) requires at <= old(vec)@.len(), ensures final(vec)@ == old(vec)@.subrange(0, at as int), return_value@ == old(vec)@.subrange(at as int, old(vec)@.len() as int),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::swap_remove,"pub fn swap_remove(&mut self, index: usize) -> T",alloc/src/vec/mod.rs:2260,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:192,vstd-baseline/std_specs/vec.rs,192,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::swap_remove ]( vec: &mut Vec<T, A>, i: usize, ) -> (element: T) requires i < old(vec).len(), ensures element == old(vec)[i as int], final(vec)@ == old(vec)@.update(i as int, old(vec)@.last()).drop_last(),",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::truncate,"pub fn truncate(&mut self, len: usize)",alloc/src/vec/mod.rs:1816,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:300,vstd-baseline/std_specs/vec.rs,300,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::truncate ](vec: &mut Vec<T, A>, len: usize) ensures len <= old(vec).len() ==> final(vec)@ == old(vec)@.subrange(0, len as int), len > old(vec).len() ==> final(vec)@ == old(vec)@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::try_reserve,"pub fn try_reserve(&mut self, additional: usize) -> Result<(), TryReserveError>",alloc/src/vec/mod.rs:1535,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:133,vstd-baseline/std_specs/vec.rs,133,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::try_reserve ]( vec: &mut Vec<T, A>, additional: usize, ) -> (result: Result<(), TryReserveError>) ensures final(vec)@ == old(vec)@,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::try_reserve_exact,"pub fn try_reserve_exact(&mut self, additional: usize) -> Result<(), TryReserveError>",alloc/src/vec/mod.rs:1578,rust-alloc-vec/vec/mod.rs,std_specs/capacity.rs:51,vstd-baseline/std_specs/capacity.rs,51,"pub assume_specification<T, A: Allocator>[ Vec::<T, A>::try_reserve_exact ]( v: &mut Vec<T, A>, additional: usize, ) -> (result: Result<(), TryReserveError>) ensures final(v)@ == old(v)@, result is Ok ==> final(v).spec_capacity() >= old(v)@.len() + additional as nat,",ok,ok,ok,ok,ok,exact-existing-vstd
alloc::vec::Vec::with_capacity,pub const fn with_capacity(capacity: usize) -> Self,alloc/src/vec/mod.rs:521,rust-alloc-vec/vec/mod.rs,std_specs/vec.rs:115,vstd-baseline/std_specs/vec.rs,115,"pub assume_specification<T>[ Vec::<T>::with_capacity ](capacity: usize) -> (v: Vec<T>) ensures v@ == Seq::<T>::empty(),",ok,ok,ok,ok,ok,exact-existing-vstd
