canonical_target,display_path,origin_path,declaration_id,source_location,copied_source_path,original_source_path,kind,signature,generic_bounds,safety,stability,since,constness,abi,alias_approximate,has_approximate_alias,existing_vstd_status,existing_vstd_provenance,existing_vstd_exact_match_status,planned_spec_status,semantic_family,source_observable_inputs,source_observable_outputs,source_observable_mutations,required_shared_model_helper,decisive_validation_command,final_contract_or_justified_no_spec_status,counting_basis
alloc::vec::Vec::extract_if,alloc::vec::Vec::extract_if,alloc::vec::Vec::extract_if,alloc:4796,alloc/src/vec/mod.rs:4224,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn extract_if<F, R>(&mut self, range: R, filter: F) -> ExtractIf<'_, T, F, A> where F: FnMut(&mut T) -> bool, R: RangeBounds<usize>,","<F, R>; where F: FnMut(&mut T) -> bool, R: RangeBounds<usize>",safe,stable,1.87.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-iterator-adaptor-state,"&mut self, range: R, filter: F","ExtractIf<'_, T, F, A>",may mutate receiver Vec; inventory requires old/final frame in generation phase,Drain/Splice/IntoIter/ExtractIf remaining-sequence and source-Vec frame state,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::from_raw_parts,alloc::vec::Vec::from_raw_parts,alloc::vec::Vec::from_raw_parts,alloc:4160,alloc/src/vec/mod.rs:642,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub const unsafe fn from_raw_parts(ptr: *mut T, length: usize, capacity: usize) -> Self",none,unsafe,stable,1.0.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-raw-parts-pointer-provenance,"ptr: *mut T, length: usize, capacity: usize",Self,none; observational or constructor result only,"raw pointer/provenance/layout boundary, len/capacity domain helpers",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::insert,alloc::vec::Vec::insert,alloc::vec::Vec::insert,alloc:5008,alloc/src/vec/mod.rs:2309,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn insert(&mut self, index: usize, element: T)",none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:203,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,"&mut self, index: usize, element: T",unit,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::insert_mut,alloc::vec::Vec::insert_mut,alloc::vec::Vec::insert_mut,alloc:5050,alloc/src/vec/mod.rs:2340,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn insert_mut(&mut self, index: usize, element: T) -> &mut T",none,safe,stable,1.95.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-sequence-mutation,"&mut self, index: usize, element: T",&mut T,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::into_boxed_slice,alloc::vec::Vec::into_boxed_slice,alloc::vec::Vec::into_boxed_slice,alloc:612,alloc/src/vec/mod.rs:1731,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn into_boxed_slice(mut self) -> Box<[T], A>",none,safe,stable,1.0.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-slice-boxed-slice-conversion,mut self,"Box<[T], A>",none; observational or constructor result only,Vec/slice/Box<[T]> logical sequence conversion plus allocation boundary,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::into_flattened,alloc::vec::Vec::into_flattened,alloc::vec::Vec::into_flattened,alloc:5071,alloc/src/vec/mod.rs:3633,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn into_flattened(self) -> Vec<T, A>",none,safe,stable,1.80.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-sequence-mutation,self,"Vec<T, A>",none; observational or constructor result only,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::into_raw_parts,alloc::vec::Vec::into_raw_parts,alloc::vec::Vec::into_raw_parts,alloc:5015,alloc/src/vec/mod.rs:840,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub const fn into_raw_parts(self) -> (*mut T, usize, usize)",none,safe,stable,1.93.0,const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-raw-parts-pointer-provenance,self,"(*mut T, usize, usize)",none; observational or constructor result only,"raw pointer/provenance/layout boundary, len/capacity domain helpers",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::is_empty,alloc::vec::Vec::is_empty,alloc::vec::Vec::is_empty,alloc:5060,alloc/src/vec/mod.rs:3088,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn is_empty(&self) -> bool,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:214,exact-existing-vstd,integrate-existing-vstd-contract,vec-logical-sequence-view,&self,bool,none; observational or constructor result only,"Seq<T> view, len/capacity relation, slice view frame",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::leak,alloc::vec::Vec::leak,alloc::vec::Vec::leak,alloc:5066,alloc/src/vec/mod.rs:3224,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn leak<'a>(self) -> &'a mut [T] where A: 'a,",<'a>; where A: 'a,safe,stable,1.47.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-slice-boxed-slice-conversion,self,&'a mut [T],none; observational or constructor result only,Vec/slice/Box<[T]> logical sequence conversion plus allocation boundary,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::len,alloc::vec::Vec::len,alloc::vec::Vec::len,alloc:5005,alloc/src/vec/mod.rs:3063,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn len(&self) -> usize,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:93,exact-existing-vstd,integrate-existing-vstd-contract,vec-logical-sequence-view,&self,usize,none; observational or constructor result only,"Seq<T> view, len/capacity relation, slice view frame",python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::new,alloc::vec::Vec::new,alloc::vec::Vec::new,alloc:5002,alloc/src/vec/mod.rs:461,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub const fn new() -> Self,none,safe,stable,1.0.0,const,Rust,False,False,existing-vstd,std_specs/vec.rs:100,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,none,Self,none; observational or constructor result only,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::pop,alloc::vec::Vec::pop,alloc::vec::Vec::pop,alloc:5057,alloc/src/vec/mod.rs:2853,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,pub fn pop(&mut self) -> Option<T>,none,safe,stable,1.0.0,non-const,Rust,False,False,existing-vstd,std_specs/vec.rs:146,exact-existing-vstd,integrate-existing-vstd-contract,vec-sequence-mutation,&mut self,Option<T>,may mutate receiver Vec; inventory requires old/final frame in generation phase,Seq update/subrange/insert/remove/permutation and mutation-frame helpers,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,existing-vstd-exact-ready-to-integrate,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
alloc::vec::Vec::pop_if,alloc::vec::Vec::pop_if,alloc::vec::Vec::pop_if,alloc:5058,alloc/src/vec/mod.rs:2880,rust-alloc-vec/vec/mod.rs,/home/chentianyu/nanvix-rust-std-spec-survey/rust-1.96/library/alloc/src/vec/mod.rs,inherent_method,"pub fn pop_if(&mut self, predicate: impl FnOnce(&mut T) -> bool) -> Option<T>",none,safe,stable,1.86.0,non-const,Rust,False,False,uncovered,none,not-covered-by-vstd,pending-real-executable-spec-or-source-backed-justified-no-spec,vec-callback-trace-mutation,"&mut self, predicate: impl FnOnce(&mut T",bool) -> Option<T>,may mutate receiver Vec; inventory requires old/final frame in generation phase,source-order FnMut/FnOnce callback trace plus retained/deduped sequence relation,python3 verification/check_inventory.py --modules-csv results/modules.csv --inventory inventory/vec_exec_fn_inventory.csv --expect-total 49 --expect-existing-vstd 24 --expect-unstable 28,pending-model-attempt,stable unique canonical alloc::vec exec API from results/coverage.csv; aliases/private/unstable rows excluded
