id,api_path,raw_target,source_file,source_line,category,status,r0_z3,classification,equal_fn_trivial
raw_ptr.rs__L422__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,raw_ptr.rs,422,trivial_equality,ok,unsat,invalid_equal_fn_trivial,True
raw_ptr.rs__L424__core__ptr__null_mut,core::ptr::null_mut,core::ptr::null_mut,raw_ptr.rs,424,trivial_equality,ok,unsat,invalid_equal_fn_trivial,True
slice.rs__L133__T__get__I,core::slice::get,<[T]>::get::<I>,slice.rs,133,complete,ok,unsat,complete,False
slice.rs__L83__T__len,core::slice::len,<[T]>::len,slice.rs,83,complete,ok,unsat,complete,False
slice.rs__L93__T__is_empty,core::slice::is_empty,<[T]>::is_empty,slice.rs,93,complete,ok,unsat,complete,False
std_specs__alloc.rs__L15__alloc__boxed__box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,alloc::boxed::box_assume_init_into_vec_unsafe,std_specs/alloc.rs,15,complete,ok,unsat,complete,False
std_specs__alloc.rs__L26__alloc__intrinsics__write_box_via_move,alloc::intrinsics::write_box_via_move,alloc::intrinsics::write_box_via_move,std_specs/alloc.rs,26,unknown,ok,unknown,ok_inconclusive,False
std_specs__alloc.rs__L36__alloc__boxed__Box__T__new_uninit,alloc::boxed::Box::new_uninit,alloc::boxed::Box::<T>::new_uninit,std_specs/alloc.rs,36,no_local_postcondition,no_ensures,,,False
std_specs__bits.rs__L218__u16__trailing_zeros,core::u16::trailing_zeros,u16::trailing_zeros,std_specs/bits.rs,218,complete,ok,unsat,complete,False
std_specs__bits.rs__L224__u16__trailing_ones,core::u16::trailing_ones,u16::trailing_ones,std_specs/bits.rs,224,complete,ok,unsat,complete,False
std_specs__bits.rs__L230__u16__leading_zeros,core::u16::leading_zeros,u16::leading_zeros,std_specs/bits.rs,230,complete,ok,unsat,complete,False
std_specs__bits.rs__L236__u16__leading_ones,core::u16::leading_ones,u16::leading_ones,std_specs/bits.rs,236,complete,ok,unsat,complete,False
std_specs__bits.rs__L394__u32__trailing_zeros,core::u32::trailing_zeros,u32::trailing_zeros,std_specs/bits.rs,394,complete,ok,unsat,complete,False
std_specs__bits.rs__L400__u32__trailing_ones,core::u32::trailing_ones,u32::trailing_ones,std_specs/bits.rs,400,complete,ok,unsat,complete,False
std_specs__bits.rs__L406__u32__leading_zeros,core::u32::leading_zeros,u32::leading_zeros,std_specs/bits.rs,406,complete,ok,unsat,complete,False
std_specs__bits.rs__L412__u32__leading_ones,core::u32::leading_ones,u32::leading_ones,std_specs/bits.rs,412,complete,ok,unsat,complete,False
std_specs__bits.rs__L48__u8__trailing_zeros,core::u8::trailing_zeros,u8::trailing_zeros,std_specs/bits.rs,48,complete,ok,unsat,complete,False
std_specs__bits.rs__L54__u8__trailing_ones,core::u8::trailing_ones,u8::trailing_ones,std_specs/bits.rs,54,complete,ok,unsat,complete,False
std_specs__bits.rs__L571__u64__trailing_zeros,core::u64::trailing_zeros,u64::trailing_zeros,std_specs/bits.rs,571,complete,ok,unsat,complete,False
std_specs__bits.rs__L577__u64__trailing_ones,core::u64::trailing_ones,u64::trailing_ones,std_specs/bits.rs,577,complete,ok,unsat,complete,False
std_specs__bits.rs__L583__u64__leading_zeros,core::u64::leading_zeros,u64::leading_zeros,std_specs/bits.rs,583,complete,ok,unsat,complete,False
std_specs__bits.rs__L589__u64__leading_ones,core::u64::leading_ones,u64::leading_ones,std_specs/bits.rs,589,complete,ok,unsat,complete,False
std_specs__bits.rs__L60__u8__leading_zeros,core::u8::leading_zeros,u8::leading_zeros,std_specs/bits.rs,60,complete,ok,unsat,complete,False
std_specs__bits.rs__L66__u8__leading_ones,core::u8::leading_ones,u8::leading_ones,std_specs/bits.rs,66,complete,ok,unsat,complete,False
std_specs__btree.rs__L204__BTreeMap__Key__Value__A__iter,alloc::collections::BTreeMap::iter,"BTreeMap::<Key, Value, A>::iter",std_specs/btree.rs,204,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L376__BTreeMap__Key__Value__A__len,alloc::collections::BTreeMap::len,"BTreeMap::<Key, Value, A>::len",std_specs/btree.rs,376,complete,ok,unsat,complete,False
std_specs__btree.rs__L383__BTreeMap__Key__Value__A__is_empty,alloc::collections::BTreeMap::is_empty,"BTreeMap::<Key, Value, A>::is_empty",std_specs/btree.rs,383,complete,ok,unsat,complete,False
std_specs__btree.rs__L390__BTreeMap__K__V__A__as__Clone__clone,core::clone::Clone::clone,"<BTreeMap::<
    K,
    V,
    A,
> as Clone>::clone",std_specs/btree.rs,390,complete,ok,unsat,complete,False
std_specs__btree.rs__L399__BTreeMap__Key__Value__new,alloc::collections::BTreeMap::new,"BTreeMap::<Key, Value>::new",std_specs/btree.rs,399,complete,ok,unsat,complete,False
std_specs__btree.rs__L404__BTreeMap__K__V__as__core__default__Default__default,core::default::Default::default,"<BTreeMap<K, V> as core::default::Default>::default",std_specs/btree.rs,404,complete,ok,unsat,complete,False
std_specs__btree.rs__L410__BTreeMap__Key__Value__A__insert,alloc::collections::BTreeMap::insert,"BTreeMap::<
    Key,
    Value,
    A,
>::insert",std_specs/btree.rs,410,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L456__BTreeMap__Key__Value__A__contains_key__Q,alloc::collections::BTreeMap::contains_key,"BTreeMap::<Key, Value, A>::contains_key::<Q>",std_specs/btree.rs,456,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L461__BTreeMap__Key__Value__A__contains_key__Q,alloc::collections::BTreeMap::contains_key,"BTreeMap::<Key, Value, A>::contains_key::<Q>",std_specs/btree.rs,461,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L504__BTreeMap__Key__Value__A__get__Q,alloc::collections::BTreeMap::get,"BTreeMap::<Key, Value, A>::get::<Q>",std_specs/btree.rs,504,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L510__BTreeMap__Key__Value__A__get__Q,alloc::collections::BTreeMap::get,"BTreeMap::<Key, Value, A>::get::<Q>",std_specs/btree.rs,510,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L562__BTreeMap__Key__Value__A__remove__Q,alloc::collections::BTreeMap::remove,"BTreeMap::<Key, Value, A>::remove::<Q>",std_specs/btree.rs,562,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L567__BTreeMap__Key__Value__A__remove__Q,alloc::collections::BTreeMap::remove,"BTreeMap::<Key, Value, A>::remove::<Q>",std_specs/btree.rs,567,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L579__BTreeMap__Key__Value__A__clear,alloc::collections::BTreeMap::clear,"BTreeMap::<Key, Value, A>::clear",std_specs/btree.rs,579,complete,ok,unsat,complete,False
std_specs__btree.rs__L609__BTreeMap__Key__Value__A__keys,alloc::collections::BTreeMap::keys,"BTreeMap::<Key, Value, A>::keys",std_specs/btree.rs,609,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L641__BTreeMap__Key__Value__A__values,alloc::collections::BTreeMap::values,"BTreeMap::<Key, Value, A>::values",std_specs/btree.rs,641,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L739__BTreeSet__Key__A__len,alloc::collections::BTreeSet::len,"BTreeSet::<Key, A>::len",std_specs/btree.rs,739,complete,ok,unsat,complete,False
std_specs__btree.rs__L746__BTreeSet__Key__A__is_empty,alloc::collections::BTreeSet::is_empty,"BTreeSet::<Key, A>::is_empty",std_specs/btree.rs,746,complete,ok,unsat,complete,False
std_specs__btree.rs__L753__BTreeSet__K__A__as__Clone__clone,core::clone::Clone::clone,"<BTreeSet::<K, A> as Clone>::clone",std_specs/btree.rs,753,complete,ok,unsat,complete,False
std_specs__btree.rs__L760__BTreeSet__Key__new,alloc::collections::BTreeSet::new,BTreeSet::<Key>::new,std_specs/btree.rs,760,complete,ok,unsat,complete,False
std_specs__btree.rs__L765__BTreeSet__T__as__core__default__Default__default,core::default::Default::default,<BTreeSet<T> as core::default::Default>::default,std_specs/btree.rs,765,complete,ok,unsat,complete,False
std_specs__btree.rs__L772__BTreeSet__Key__A__insert,alloc::collections::BTreeSet::insert,"BTreeSet::<Key, A>::insert",std_specs/btree.rs,772,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L809__BTreeSet__Key__A__contains,alloc::collections::BTreeSet::contains,"BTreeSet::<
    Key,
    A,
>::contains",std_specs/btree.rs,809,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L848__BTreeSet__Key__A__get__Q,alloc::collections::BTreeSet::get,"BTreeSet::<Key, A>::get::<Q>",std_specs/btree.rs,848,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L853__BTreeSet__Key__A__get__Q,alloc::collections::BTreeSet::get,"BTreeSet::<Key, A>::get::<Q>",std_specs/btree.rs,853,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L894__BTreeSet__Key__A__remove__Q,alloc::collections::BTreeSet::remove,"BTreeSet::<
    Key,
    A,
>::remove::<Q>",std_specs/btree.rs,894,unknown,ok,unknown,ok_inconclusive,False
std_specs__btree.rs__L905__BTreeSet__Key__A__clear,alloc::collections::BTreeSet::clear,"BTreeSet::<Key, A>::clear",std_specs/btree.rs,905,complete,ok,unsat,complete,False
std_specs__btree.rs__L935__BTreeSet__Key__A__iter,alloc::collections::BTreeSet::iter,"BTreeSet::<Key, A>::iter",std_specs/btree.rs,935,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L100__String__try_reserve,alloc::string::String::try_reserve,String::try_reserve,std_specs/capacity.rs,100,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L107__String__try_reserve_exact,alloc::string::String::try_reserve_exact,String::try_reserve_exact,std_specs/capacity.rs,107,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L114__String__shrink_to_fit,alloc::string::String::shrink_to_fit,String::shrink_to_fit,std_specs/capacity.rs,114,complete,ok,unsat,complete,False
std_specs__capacity.rs__L121__String__shrink_to,alloc::string::String::shrink_to,String::shrink_to,std_specs/capacity.rs,121,complete,ok,unsat,complete,False
std_specs__capacity.rs__L128__VecDeque__T__A__capacity,alloc::collections::VecDeque::capacity,"VecDeque::<T, A>::capacity",std_specs/capacity.rs,128,complete,ok,unsat,complete,False
std_specs__capacity.rs__L135__VecDeque__T__A__try_reserve,alloc::collections::VecDeque::try_reserve,"VecDeque::<T, A>::try_reserve",std_specs/capacity.rs,135,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L144__VecDeque__T__A__shrink_to_fit,alloc::collections::VecDeque::shrink_to_fit,"VecDeque::<T, A>::shrink_to_fit",std_specs/capacity.rs,144,complete,ok,unsat,complete,False
std_specs__capacity.rs__L151__VecDeque__T__A__shrink_to,alloc::collections::VecDeque::shrink_to,"VecDeque::<T, A>::shrink_to",std_specs/capacity.rs,151,complete,ok,unsat,complete,False
std_specs__capacity.rs__L161__BinaryHeap__T__A__capacity,alloc::collections::BinaryHeap::capacity,"BinaryHeap::<T, A>::capacity",std_specs/capacity.rs,161,complete,ok,unsat,complete,False
std_specs__capacity.rs__L168__BinaryHeap__T__with_capacity,alloc::collections::BinaryHeap::with_capacity,BinaryHeap::<T>::with_capacity,std_specs/capacity.rs,168,complete,ok,unsat,complete,False
std_specs__capacity.rs__L175__BinaryHeap__T__A__reserve,alloc::collections::BinaryHeap::reserve,"BinaryHeap::<T, A>::reserve",std_specs/capacity.rs,175,complete,ok,unsat,complete,False
std_specs__capacity.rs__L184__BinaryHeap__T__A__reserve_exact,alloc::collections::BinaryHeap::reserve_exact,"BinaryHeap::<T, A>::reserve_exact",std_specs/capacity.rs,184,complete,ok,unsat,complete,False
std_specs__capacity.rs__L193__BinaryHeap__T__A__try_reserve,alloc::collections::BinaryHeap::try_reserve,"BinaryHeap::<T, A>::try_reserve",std_specs/capacity.rs,193,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L202__BinaryHeap__T__A__try_reserve_exact,alloc::collections::BinaryHeap::try_reserve_exact,"BinaryHeap::<T, A>::try_reserve_exact",std_specs/capacity.rs,202,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L211__BinaryHeap__T__A__shrink_to_fit,alloc::collections::BinaryHeap::shrink_to_fit,"BinaryHeap::<T, A>::shrink_to_fit",std_specs/capacity.rs,211,complete,ok,unsat,complete,False
std_specs__capacity.rs__L220__BinaryHeap__T__A__shrink_to,alloc::collections::BinaryHeap::shrink_to,"BinaryHeap::<T, A>::shrink_to",std_specs/capacity.rs,220,complete,ok,unsat,complete,False
std_specs__capacity.rs__L37__Vec__T__A__capacity,alloc::vec::Vec::capacity,"Vec::<T, A>::capacity",std_specs/capacity.rs,37,complete,ok,unsat,complete,False
std_specs__capacity.rs__L42__Vec__T__A__reserve_exact,alloc::vec::Vec::reserve_exact,"Vec::<T, A>::reserve_exact",std_specs/capacity.rs,42,complete,ok,unsat,complete,False
std_specs__capacity.rs__L51__Vec__T__A__try_reserve_exact,alloc::vec::Vec::try_reserve_exact,"Vec::<T, A>::try_reserve_exact",std_specs/capacity.rs,51,unknown,ok,unknown,ok_inconclusive,False
std_specs__capacity.rs__L60__Vec__T__A__shrink_to_fit,alloc::vec::Vec::shrink_to_fit,"Vec::<T, A>::shrink_to_fit",std_specs/capacity.rs,60,complete,ok,unsat,complete,False
std_specs__capacity.rs__L67__Vec__T__A__shrink_to,alloc::vec::Vec::shrink_to,"Vec::<T, A>::shrink_to",std_specs/capacity.rs,67,complete,ok,unsat,complete,False
std_specs__capacity.rs__L77__String__capacity,alloc::string::String::capacity,String::capacity,std_specs/capacity.rs,77,complete,ok,unsat,complete,False
std_specs__capacity.rs__L82__String__with_capacity,alloc::string::String::with_capacity,String::with_capacity,std_specs/capacity.rs,82,complete,ok,unsat,complete,False
std_specs__capacity.rs__L88__String__reserve,alloc::string::String::reserve,String::reserve,std_specs/capacity.rs,88,complete,ok,unsat,complete,False
std_specs__capacity.rs__L94__String__reserve_exact,alloc::string::String::reserve_exact,String::reserve_exact,std_specs/capacity.rs,94,complete,ok,unsat,complete,False
std_specs__clone.rs__L26__bool__as__Clone__clone,core::clone::Clone::clone,<bool as Clone>::clone,std_specs/clone.rs,26,complete,ok,unsat,complete,False
std_specs__clone.rs__L31__char__as__Clone__clone,core::clone::Clone::clone,<char as Clone>::clone,std_specs/clone.rs,31,complete,ok,unsat,complete,False
std_specs__clone.rs__L37__b__T__as__Clone__clone,core::clone::Clone::clone,<&'b T as Clone>::clone,std_specs/clone.rs,37,complete,ok,unsat,complete,False
std_specs__clone.rs__L44__T__N__as__Clone__clone,core::clone::Clone::clone,<[T; N] as Clone>::clone,std_specs/clone.rs,44,unknown,ok,unknown,ok_inconclusive,False
std_specs__clone.rs__L61__Tracked__T__as__Clone__clone,core::clone::Clone::clone,<Tracked<T> as Clone>::clone,std_specs/clone.rs,61,complete,ok,unsat,complete,False
std_specs__clone.rs__L68__Ghost__T__as__Clone__clone,core::clone::Clone::clone,<Ghost<T> as Clone>::clone,std_specs/clone.rs,68,complete,ok,unsat,complete,False
std_specs__cmp.rs__L250__bool__as__PartialEq__bool__eq,core::cmp::PartialEq::eq,<bool as PartialEq<bool>>::eq,std_specs/cmp.rs,250,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L252__bool__as__PartialEq__bool__ne,core::cmp::PartialEq::ne,<bool as PartialEq<bool>>::ne,std_specs/cmp.rs,252,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L279__f32__as__PartialEq__f32__eq,core::cmp::PartialEq::eq,<f32 as PartialEq<f32>>::eq,std_specs/cmp.rs,279,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L285__f32__as__PartialEq__f32__ne,core::cmp::PartialEq::ne,<f32 as PartialEq<f32>>::ne,std_specs/cmp.rs,285,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L290__f32__as__PartialOrd__f32__partial_cmp,core::cmp::PartialOrd::partial_cmp,<f32 as PartialOrd<f32>>::partial_cmp,std_specs/cmp.rs,290,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L295__f32__as__PartialOrd__f32__lt,core::cmp::PartialOrd::lt,<f32 as PartialOrd<f32>>::lt,std_specs/cmp.rs,295,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L300__f32__as__PartialOrd__f32__le,core::cmp::PartialOrd::le,<f32 as PartialOrd<f32>>::le,std_specs/cmp.rs,300,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L305__f32__as__PartialOrd__f32__gt,core::cmp::PartialOrd::gt,<f32 as PartialOrd<f32>>::gt,std_specs/cmp.rs,305,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L310__f32__as__PartialOrd__f32__ge,core::cmp::PartialOrd::ge,<f32 as PartialOrd<f32>>::ge,std_specs/cmp.rs,310,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L316__f64__as__PartialEq__f64__eq,core::cmp::PartialEq::eq,<f64 as PartialEq<f64>>::eq,std_specs/cmp.rs,316,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L322__f64__as__PartialEq__f64__ne,core::cmp::PartialEq::ne,<f64 as PartialEq<f64>>::ne,std_specs/cmp.rs,322,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L327__f64__as__PartialOrd__f64__partial_cmp,core::cmp::PartialOrd::partial_cmp,<f64 as PartialOrd<f64>>::partial_cmp,std_specs/cmp.rs,327,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L332__f64__as__PartialOrd__f64__lt,core::cmp::PartialOrd::lt,<f64 as PartialOrd<f64>>::lt,std_specs/cmp.rs,332,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L337__f64__as__PartialOrd__f64__le,core::cmp::PartialOrd::le,<f64 as PartialOrd<f64>>::le,std_specs/cmp.rs,337,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L342__f64__as__PartialOrd__f64__gt,core::cmp::PartialOrd::gt,<f64 as PartialOrd<f64>>::gt,std_specs/cmp.rs,342,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L347__f64__as__PartialOrd__f64__ge,core::cmp::PartialOrd::ge,<f64 as PartialOrd<f64>>::ge,std_specs/cmp.rs,347,unknown,ok,unknown,ok_inconclusive,False
std_specs__cmp.rs__L367__a__A__as__PartialEq__B__eq,core::cmp::PartialEq::eq,<&'a A as PartialEq<&B>>::eq,std_specs/cmp.rs,367,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L375__a__A__as__PartialEq__B__ne,core::cmp::PartialEq::ne,<&'a A as PartialEq<&B>>::ne,std_specs/cmp.rs,375,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L396__a__A__as__PartialOrd__B__partial_cmp,core::cmp::PartialOrd::partial_cmp,<&'a A as PartialOrd<&B>>::partial_cmp,std_specs/cmp.rs,396,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L404__a__A__as__PartialOrd__B__lt,core::cmp::PartialOrd::lt,<&'a A as PartialOrd<&B>>::lt,std_specs/cmp.rs,404,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L412__a__A__as__PartialOrd__B__le,core::cmp::PartialOrd::le,<&'a A as PartialOrd<&B>>::le,std_specs/cmp.rs,412,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L420__a__A__as__PartialOrd__B__gt,core::cmp::PartialOrd::gt,<&'a A as PartialOrd<&B>>::gt,std_specs/cmp.rs,420,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L428__a__A__as__PartialOrd__B__ge,core::cmp::PartialOrd::ge,<&'a A as PartialOrd<&B>>::ge,std_specs/cmp.rs,428,no_local_postcondition,no_ensures,,,False
std_specs__cmp.rs__L446__a__A__as__Ord__cmp,core::cmp::Ord::cmp,<&'a A as Ord>::cmp,std_specs/cmp.rs,446,no_local_postcondition,no_ensures,,,False
std_specs__collections_extra.rs__L103__BinaryHeap__T__A__peek,alloc::collections::BinaryHeap::peek,"BinaryHeap::<T, A>::peek",std_specs/collections_extra.rs,103,unknown,ok,unknown,ok_inconclusive,False
std_specs__collections_extra.rs__L111__BinaryHeap__T__A__as_slice,alloc::collections::BinaryHeap::as_slice,"BinaryHeap::<T, A>::as_slice",std_specs/collections_extra.rs,111,unknown,ok,unknown,ok_inconclusive,False
std_specs__collections_extra.rs__L118__BinaryHeap__T__A__into_vec,alloc::collections::BinaryHeap::into_vec,"BinaryHeap::<T, A>::into_vec",std_specs/collections_extra.rs,118,unknown,ok,unknown,ok_inconclusive,False
std_specs__collections_extra.rs__L125__BinaryHeap__T__A__into_sorted_vec,alloc::collections::BinaryHeap::into_sorted_vec,"BinaryHeap::<T, A>::into_sorted_vec",std_specs/collections_extra.rs,125,unknown,ok,unknown,ok_inconclusive,False
std_specs__collections_extra.rs__L132__LinkedList__T__new,alloc::collections::LinkedList::new,LinkedList::<T>::new,std_specs/collections_extra.rs,132,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L137__LinkedList__T__A__len,alloc::collections::LinkedList::len,"LinkedList::<T, A>::len",std_specs/collections_extra.rs,137,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L144__LinkedList__T__A__is_empty,alloc::collections::LinkedList::is_empty,"LinkedList::<T, A>::is_empty",std_specs/collections_extra.rs,144,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L151__LinkedList__T__A__contains,alloc::collections::LinkedList::contains,"LinkedList::<T, A>::contains",std_specs/collections_extra.rs,151,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L161__LinkedList__T__A__clear,alloc::collections::LinkedList::clear,"LinkedList::<T, A>::clear",std_specs/collections_extra.rs,161,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L166__LinkedList__T__A__push_front,alloc::collections::LinkedList::push_front,"LinkedList::<T, A>::push_front",std_specs/collections_extra.rs,166,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L174__LinkedList__T__A__push_back,alloc::collections::LinkedList::push_back,"LinkedList::<T, A>::push_back",std_specs/collections_extra.rs,174,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L182__LinkedList__T__A__pop_front,alloc::collections::LinkedList::pop_front,"LinkedList::<T, A>::pop_front",std_specs/collections_extra.rs,182,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L191__LinkedList__T__A__pop_back,alloc::collections::LinkedList::pop_back,"LinkedList::<T, A>::pop_back",std_specs/collections_extra.rs,191,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L200__LinkedList__T__A__front,alloc::collections::LinkedList::front,"LinkedList::<T, A>::front",std_specs/collections_extra.rs,200,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L208__LinkedList__T__A__back,alloc::collections::LinkedList::back,"LinkedList::<T, A>::back",std_specs/collections_extra.rs,208,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L216__LinkedList__T__append,alloc::collections::LinkedList::append,LinkedList::<T>::append,std_specs/collections_extra.rs,216,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L225__LinkedList__T__A__split_off,alloc::collections::LinkedList::split_off,"LinkedList::<T, A>::split_off",std_specs/collections_extra.rs,225,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L46__BinaryHeap__T__new,alloc::collections::BinaryHeap::new,BinaryHeap::<T>::new,std_specs/collections_extra.rs,46,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L51__BinaryHeap__T__A__len,alloc::collections::BinaryHeap::len,"BinaryHeap::<T, A>::len",std_specs/collections_extra.rs,51,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L58__BinaryHeap__T__A__is_empty,alloc::collections::BinaryHeap::is_empty,"BinaryHeap::<T, A>::is_empty",std_specs/collections_extra.rs,58,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L65__BinaryHeap__T__A__clear,alloc::collections::BinaryHeap::clear,"BinaryHeap::<T, A>::clear",std_specs/collections_extra.rs,65,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L70__BinaryHeap__T__A__push,alloc::collections::BinaryHeap::push,"BinaryHeap::<T, A>::push",std_specs/collections_extra.rs,70,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L78__BinaryHeap__T__A__append,alloc::collections::BinaryHeap::append,"BinaryHeap::<T, A>::append",std_specs/collections_extra.rs,78,complete,ok,unsat,complete,False
std_specs__collections_extra.rs__L87__BinaryHeap__T__A__pop,alloc::collections::BinaryHeap::pop,"BinaryHeap::<T, A>::pop",std_specs/collections_extra.rs,87,unknown,ok,unknown,ok_inconclusive,False
std_specs__control_flow.rs__L113__Result__T__F__from_residual,core::fmt::Result::from_residual,"Result::<T, F>::from_residual",std_specs/control_flow.rs,113,complete,ok,unsat,complete,False
std_specs__control_flow.rs__L18__Result__T__E__branch,core::fmt::Result::branch,"Result::<T, E>::branch",std_specs/control_flow.rs,18,complete,ok,unsat,complete,False
std_specs__control_flow.rs__L30__Option__T__branch,core::option::Option::branch,Option::<T>::branch,std_specs/control_flow.rs,30,complete,ok,unsat,complete,False
std_specs__control_flow.rs__L42__Option__T__from_residual,core::option::Option::from_residual,Option::<T>::from_residual,std_specs/control_flow.rs,42,complete,ok,unsat,complete,False
std_specs__control_flow.rs__L50__ControlFlow__B__C__is_break,core::ops::ControlFlow::is_break,"ControlFlow::<B, C>::is_break",std_specs/control_flow.rs,50,complete,ok,unsat,complete,False
