target,semantic_family,status,contract_text,requires,ensures,shared_helpers,source_reference,source_excerpt,strength,known_risks,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,reviewer_notes
alloc::vec::Vec::dedup,vec-callback-trace-mutation,generated-new-real-relation-spec,"pub assume_specification<T: core::cmp::PartialEq, A: core::alloc::Allocator>[ Vec::<T, A>::dedup ]( vec: &mut Vec<T, A>, ) ensures vec_dedup_partial_eq_result(old(vec)@, final(vec)@), ;",none beyond documented Rust panic/unsafe domains,"vec_dedup_partial_eq_result(old(vec)@, final(vec)@),",vec_dedup_partial_eq_result,alloc/src/vec/mod.rs:3704,pub fn dedup(&mut self),medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"FnMut/FnOnce or Clone effects are source-observable only through ordered callback traces, so the contract preserves relational outcomes rather than choosing one concrete callback result",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=callback-trace-boundary; unknown_review_reason=FnMut/FnOnce or Clone effects are modeled by ordered source callback traces, preserving relational outcomes.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup/det_harness.rs",target alloc::vec::Vec::dedup bound from inventory at alloc/src/vec/mod.rs:3704,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::dedup_by,vec-callback-trace-mutation,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator, F: core::ops::FnMut(&mut T, &mut T) -> bool>[ Vec::<T, A>::dedup_by::<F> ]( vec: &mut Vec<T, A>, same_bucket: F, ) ensures vec_dedup_by_result(old(vec)@, same_bucket, final(vec)@), ;",none beyond documented Rust panic/unsafe domains,"vec_dedup_by_result(old(vec)@, same_bucket, final(vec)@),",vec_dedup_by_result,alloc/src/vec/mod.rs:2651,"pub fn dedup_by<F>(&mut self, mut same_bucket: F) where F: FnMut(&mut T, &mut T) -> bool,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"FnMut/FnOnce or Clone effects are source-observable only through ordered callback traces, so the contract preserves relational outcomes rather than choosing one concrete callback result",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=callback-trace-boundary; unknown_review_reason=FnMut/FnOnce or Clone effects are modeled by ordered source callback traces, preserving relational outcomes.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by/det_harness.rs",target alloc::vec::Vec::dedup_by bound from inventory at alloc/src/vec/mod.rs:2651,signature mirrored from inventory row and copied Rust 1.96 source declaration,"<F>; where F: FnMut(&mut T, &mut T) -> bool",Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::dedup_by_key,vec-callback-trace-mutation,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator, F: core::ops::FnMut(&mut T) -> K, K: core::cmp::PartialEq>[ Vec::<T, A>::dedup_by_key::<F, K> ]( vec: &mut Vec<T, A>, key: F, ) ensures vec_dedup_by_key_result(old(vec)@, key, final(vec)@), ;",none beyond documented Rust panic/unsafe domains,"vec_dedup_by_key_result(old(vec)@, key, final(vec)@),",vec_dedup_by_key_result,alloc/src/vec/mod.rs:2624,"pub fn dedup_by_key<F, K>(&mut self, mut key: F) where F: FnMut(&mut T) -> K, K: PartialEq,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"FnMut/FnOnce or Clone effects are source-observable only through ordered callback traces, so the contract preserves relational outcomes rather than choosing one concrete callback result",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=callback-trace-boundary; unknown_review_reason=FnMut/FnOnce or Clone effects are modeled by ordered source callback traces, preserving relational outcomes.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by_key/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by_key/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__dedup_by_key/det_harness.rs",target alloc::vec::Vec::dedup_by_key bound from inventory at alloc/src/vec/mod.rs:2624,signature mirrored from inventory row and copied Rust 1.96 source declaration,"<F, K>; where F: FnMut(&mut T) -> K, K: PartialEq",Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::drain,vec-iterator-adaptor-state,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator, R: core::ops::RangeBounds<usize>>[ Vec::<T, A>::drain::<R> ]( vec: &mut Vec<T, A>, range: R, ) -> (drain: Drain<'_, T, A>) requires vec_range_bounds_valid(old(vec)@, range), ensures vec_drain_created(old(vec)@, range, drain, final(vec)@), ;",see executable declaration,"vec_drain_created(old(vec)@, range, drain, final(vec)@),",vec_range_bounds_valid;vec_range_start;vec_range_end;vec_drain_created,alloc/src/vec/mod.rs:2985,"pub fn drain<R>(&mut self, range: R) -> Drain<'_, T, A> where R: RangeBounds<usize>,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Drain, Splice, IntoIter, and ExtractIf expose source-backed remaining sequences while retaining opaque iterator/lifetime/drop state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-adaptor-state-boundary; unknown_review_reason=Iterator/adaptor values expose modeled remaining sequences but keep opaque lifetime/drop state.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__drain/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__drain/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__drain/det_harness.rs,target alloc::vec::Vec::drain bound from inventory at alloc/src/vec/mod.rs:2985,signature mirrored from inventory row and copied Rust 1.96 source declaration,<R>; where R: RangeBounds<usize>,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::extend_from_slice,vec-sequence-mutation,existing-vstd,"pub assume_specification<T: core::clone::Clone, A: core::alloc::Allocator>[ Vec::<T, A>::extend_from_slice ]( vec: &mut Vec<T, A>, other: &[T], ) ensures final(vec)@.len() == old(vec)@.len() + other@.len(), forall|i: int| #![trigger final(vec)@[i]] 0 <= i < final(vec)@.len() ==> if i < old(vec)@.len() { final(vec)@[i] == old(vec)@[i] } else { cloned::<T>(other@[i - old(vec)@.len()], final(vec)@[i]) }, ;",none beyond documented Rust panic/unsafe domains,"final(vec)@.len() == old(vec)@.len() + other@.len(), forall|i: int| #![trigger final(vec)@[i]] 0 <= i < final(vec)@.len() ==> if i < old(vec)@.len() { final(vec)@[i] == old(vec)@[i] } else { cloned::<T>(other@[i - old(vec)@.len()], final(vec)@[i]) },",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:3566,"pub fn extend_from_slice(&mut self, other: &[T])",exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::extend_from_slice bound from inventory at alloc/src/vec/mod.rs:3566,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::extend_from_within,vec-sequence-mutation,generated-new-real-relation-spec,"pub assume_specification<T: core::clone::Clone, A: core::alloc::Allocator, R: core::ops::RangeBounds<usize>>[ Vec::<T, A>::extend_from_within::<R> ]( vec: &mut Vec<T, A>, src: R, ) requires vec_range_bounds_valid(old(vec)@, src), ensures vec_extend_from_within_result(old(vec)@, src, final(vec)@), ;",see executable declaration,"vec_extend_from_within_result(old(vec)@, src, final(vec)@),",vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extend_from_within_result,alloc/src/vec/mod.rs:3597,"pub fn extend_from_within<R>(&mut self, src: R) where R: RangeBounds<usize>,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"FnMut/FnOnce or Clone effects are source-observable only through ordered callback traces, so the contract preserves relational outcomes rather than choosing one concrete callback result",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=callback-trace-boundary; unknown_review_reason=FnMut/FnOnce or Clone effects are modeled by ordered source callback traces, preserving relational outcomes.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extend_from_within/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extend_from_within/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extend_from_within/det_harness.rs",target alloc::vec::Vec::extend_from_within bound from inventory at alloc/src/vec/mod.rs:3597,signature mirrored from inventory row and copied Rust 1.96 source declaration,<R>; where R: RangeBounds<usize>,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::extract_if,vec-iterator-adaptor-state,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator, F: core::ops::FnMut(&mut T) -> bool, R: core::ops::RangeBounds<usize>>[ Vec::<T, A>::extract_if::<F, R> ]( vec: &mut Vec<T, A>, range: R, filter: F, ) -> (iter: ExtractIf<'_, T, F, A>) requires vec_range_bounds_valid(old(vec)@, range), ensures vec_extract_if_created(old(vec)@, range, filter, iter, final(vec)@), ;",see executable declaration,"vec_extract_if_created(old(vec)@, range, filter, iter, final(vec)@),",vec_range_bounds_valid;vec_range_start;vec_range_end;vec_extract_if_created,alloc/src/vec/mod.rs:4224,"pub fn extract_if<F, R>(&mut self, range: R, filter: F) -> ExtractIf<'_, T, F, A> where F: FnMut(&mut T) -> bool, R: RangeBounds<usize>,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Drain, Splice, IntoIter, and ExtractIf expose source-backed remaining sequences while retaining opaque iterator/lifetime/drop state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-adaptor-state-boundary; unknown_review_reason=Iterator/adaptor values expose modeled remaining sequences but keep opaque lifetime/drop state.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extract_if/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extract_if/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__extract_if/det_harness.rs,target alloc::vec::Vec::extract_if bound from inventory at alloc/src/vec/mod.rs:4224,signature mirrored from inventory row and copied Rust 1.96 source declaration,"<F, R>; where F: FnMut(&mut T) -> bool, R: RangeBounds<usize>",Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::from_raw_parts,vec-raw-parts-pointer-provenance,generated-new-real-relation-spec,"pub assume_specification<T>[ Vec::<T>::from_raw_parts ]( ptr: *mut T, length: usize, capacity: usize, ) -> (vec: Vec<T>) requires vec_raw_parts_domain::<T>(ptr, length, capacity), ensures vec@ == vec_raw_parts_initialized_seq::<T>(ptr, length), vec.spec_capacity() == capacity as nat, ;",see executable declaration,"vec@ == vec_raw_parts_initialized_seq::<T>(ptr, length), vec.spec_capacity() == capacity as nat,",CapacitySpec::spec_capacity;vec_raw_parts_domain;vec_raw_parts_initialized_seq;vec_raw_parts_storage_ptr,alloc/src/vec/mod.rs:642,"pub const unsafe fn from_raw_parts(ptr: *mut T, length: usize, capacity: usize) -> Self",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"pointer address, provenance, allocation layout, and initialized raw storage state are source-observable but not uniquely determined by the pure Vec Seq view",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=Pointer address, provenance, and allocation layout are not uniquely recoverable from the Vec Seq view.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/targeted-from-raw-parts-20260811T1518Z/alloc__vec__Vec__from_raw_parts/result.json; synthetic=verification/evidence/vec_feedback_determinism/targeted-from-raw-parts-20260811T1518Z/alloc__vec__Vec__from_raw_parts/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/targeted-from-raw-parts-20260811T1518Z/alloc__vec__Vec__from_raw_parts/det_harness.rs",target alloc::vec::Vec::from_raw_parts bound from inventory at alloc/src/vec/mod.rs:642,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::insert,vec-sequence-mutation,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::insert ]( vec: &mut Vec<T, A>, i: usize, element: T, ) requires i <= old(vec).len(), ensures final(vec)@ == old(vec)@.insert(i as int, element), ;",see executable declaration,"final(vec)@ == old(vec)@.insert(i as int, element),",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:2309,"pub fn insert(&mut self, index: usize, element: T)",exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::insert bound from inventory at alloc/src/vec/mod.rs:2309,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::insert_mut,vec-sequence-mutation,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::insert_mut ]( vec: &mut Vec<T, A>, index: usize, element: T, ) -> (ret: &mut T) requires index <= old(vec)@.len(), ensures *ret == element, final(vec)@ == old(vec)@.insert(index as int, *final(ret)), ;",see executable declaration,"*ret == element, final(vec)@ == old(vec)@.insert(index as int, *final(ret)),",Seq/View old/final relation,alloc/src/vec/mod.rs:2340,"pub fn insert_mut(&mut self, index: usize, element: T) -> &mut T",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,the inserted or pushed value view is fixed while the returned mutable reference identity and post-borrow mutation frame remain relational,verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=unsupported_mut_ref_return; R0=unsupported; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__insert_mut/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__insert_mut/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__insert_mut/det_harness.rs,target alloc::vec::Vec::insert_mut bound from inventory at alloc/src/vec/mod.rs:2340,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::into_boxed_slice,vec-slice-boxed-slice-conversion,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator>[ Vec::<T, A>::into_boxed_slice ]( vec: Vec<T, A>, ) -> (ret: alloc::boxed::Box<[T], A>) ensures boxed_slice_view::<T, A>(ret) == vec@, boxed_slice_capacity::<T, A>(ret) == vec@.len(), ;",none beyond documented Rust panic/unsafe domains,"boxed_slice_view::<T, A>(ret) == vec@, boxed_slice_capacity::<T, A>(ret) == vec@.len(),",boxed_slice_view;boxed_slice_capacity,alloc/src/vec/mod.rs:1731,"pub fn into_boxed_slice(mut self) -> Box<[T], A>",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Box/slice/leak conversions preserve the logical sequence while allocation identity, allocator state, and leaked lifetime provenance remain boundary state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=conversion-allocation-boundary; unknown_review_reason=Conversion preserves logical sequence while allocation identity/lifetime provenance remains boundary state.; verus_rc=1; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_boxed_slice/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_boxed_slice/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_boxed_slice/det_harness.rs,target alloc::vec::Vec::into_boxed_slice bound from inventory at alloc/src/vec/mod.rs:1731,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::into_flattened,vec-sequence-mutation,generated-new-real-relation-spec,"pub assume_specification<T, A: core::alloc::Allocator, const N: usize>[ Vec::<[T; N], A>::into_flattened ]( vec: Vec<[T; N], A>, ) -> (ret: Vec<T, A>) ensures ret@ == flatten_array_vec::<T, N>(vec@), ret@.len() == vec@.len() * N, ;",none beyond documented Rust panic/unsafe domains,"ret@ == flatten_array_vec::<T, N>(vec@), ret@.len() == vec@.len() * N,",flatten_array_vec;array_value_view,alloc/src/vec/mod.rs:3633,"pub fn into_flattened(self) -> Vec<T, A>",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,flattening preserves element order through fixed-array views but capacity and allocation layout are modeled relationally,verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_flattened/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_flattened/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_flattened/det_harness.rs,target alloc::vec::Vec::into_flattened bound from inventory at alloc/src/vec/mod.rs:3633,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::into_raw_parts,vec-raw-parts-pointer-provenance,generated-new-real-relation-spec,"pub assume_specification<T>[ Vec::<T>::into_raw_parts ]( vec: Vec<T>, ) -> (parts: (*mut T, usize, usize)) ensures parts.1 == vec@.len(), parts.2 as nat == vec.spec_capacity(), vec_raw_parts_round_trip(vec@, vec.spec_capacity(), parts.0, parts.1, parts.2), ;",none beyond documented Rust panic/unsafe domains,"parts.1 == vec@.len(), parts.2 as nat == vec.spec_capacity(), vec_raw_parts_round_trip(vec@, vec.spec_capacity(), parts.0, parts.1, parts.2),",CapacitySpec::spec_capacity;vec_raw_parts_round_trip,alloc/src/vec/mod.rs:840,"pub const fn into_raw_parts(self) -> (*mut T, usize, usize)",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"pointer address, provenance, allocation layout, and initialized raw storage state are source-observable but not uniquely determined by the pure Vec Seq view",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_raw_parts/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_raw_parts/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__into_raw_parts/det_harness.rs,target alloc::vec::Vec::into_raw_parts bound from inventory at alloc/src/vec/mod.rs:840,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
alloc::vec::Vec::is_empty,vec-logical-sequence-view,existing-vstd,"pub assume_specification<T, A: core::alloc::Allocator> [ <Vec<T, A>>::is_empty ]( v: &Vec<T, A>, ) -> (res: bool) ensures res <==> v@.len() == 0, ;",none beyond documented Rust panic/unsafe domains,"res <==> v@.len() == 0,",preserve exact copied vstd Seq/View/capacity contract and target binding,alloc/src/vec/mod.rs:3088,pub const fn is_empty(&self) -> bool,exact-existing-vstd baseline; copied declaration integrated verbatim where applicable,none beyond copied vstd abstraction boundaries,static-contract-shape-check: passed; exact copied vstd baseline is typechecked by vstd and is not redeclared in the local generated harness,exact-existing-vstd baseline row; determinism not rerun for copied vstd subtraction,target alloc::vec::Vec::is_empty bound from inventory at alloc/src/vec/mod.rs:3088,signature mirrored from inventory row and copied Rust 1.96 source declaration,none,Exact copied vstd contract integrated in specs/existing_vstd_vec_specs.rs and specs/all_vec_specs.rs.
alloc::vec::Vec::leak,vec-slice-boxed-slice-conversion,generated-new-real-relation-spec,"pub assume_specification<'a, T, A: core::alloc::Allocator + 'a>[ Vec::<T, A>::leak ]( vec: Vec<T, A>, ) -> (ret: &'a mut [T]) ensures ret@ == vec@, final(ret)@.len() == vec@.len(), ;",none beyond documented Rust panic/unsafe domains,"ret@ == vec@, final(ret)@.len() == vec@.len(),",Seq/View old/final relation,alloc/src/vec/mod.rs:3224,"pub fn leak<'a>(self) -> &'a mut [T] where A: 'a,",medium: executable Verus assume_specification; feedback pipeline records honest determinism outcome,"Box/slice/leak conversions preserve the logical sequence while allocation identity, allocator state, and leaked lifetime provenance remain boundary state",verus-typecheck: pass; rc=0; command=/usr/bin/timeout 110s /home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/vec_all_contracts_batch.rs --no-verify; harness=verification/harnesses/vec_all_contracts_batch.rs; stdout=verification/evidence/vec_all_contracts_batch.verus.stdout; stderr=verification/evidence/vec_all_contracts_batch.verus.stderr,feedback-pipeline determinism: status=unsupported_mut_ref_return; R0=unsupported; evidence=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__leak/result.json; synthetic=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__leak/synthetic_spec.rs; harness=verification/evidence/vec_feedback_determinism/all-20260811T1447Z-module-first/alloc__vec__Vec__leak/det_harness.rs,target alloc::vec::Vec::leak bound from inventory at alloc/src/vec/mod.rs:3224,signature mirrored from inventory row and copied Rust 1.96 source declaration,<'a>; where A: 'a,Generated executable Vec assume_specification; feedback-pipeline determinism result recorded honestly.
