target,category,status,rounds,initial_decision,final_decision,contract_form,typecheck_passed,det_status,r0_z3,classification,raw_det_reward,guarded_reward,semantic_guarded_reward,issues,semantic_gate_issues,semantic_review_issues,requires,ensures,contract_code,rationale
core::net::SocketAddr::set_ip,other,,2,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,,"final(address)@ == match (old(address)@, new_ip@) {
            (SocketAddrView::V4(old_v4), IpAddrView::V4(ip)) =>
                SocketAddrView::V4(SocketAddrV4View { ip, port: old_v4.port }),
            (SocketAddrView::V4(old_v4), IpAddrView::V6(ip)) =>
                SocketAddrView::V6(SocketAddrV6View {
                    ip,
                    port: old_v4.port,
                    flowinfo: 0,
                    scope_id: 0,
                }),
            (SocketAddrView::V6(old_v6), IpAddrView::V4(ip)) =>
                SocketAddrView::V4(SocketAddrV4View { ip, port: old_v6.port }),
            (SocketAddrView::V6(old_v6), IpAddrView::V6(ip)) =>
                SocketAddrView::V6(SocketAddrV6View {
                    ip,
                    port: old_v6.port,
                    flowinfo: old_v6.flowinfo,
                    scope_id: old_v6.scope_id,
                }),
        }","pub assume_specification[ SocketAddr::set_ip ](
    address: &mut SocketAddr,
    new_ip: IpAddr,
)
    ensures
        final(address)@ == match (old(address)@, new_ip@) {
            (SocketAddrView::V4(old_v4), IpAddrView::V4(ip)) =>
                SocketAddrView::V4(SocketAddrV4View { ip, port: old_v4.port }),
            (SocketAddrView::V4(old_v4), IpAddrView::V6(ip)) =>
                SocketAddrView::V6(SocketAddrV6View {
                    ip,
                    port: old_v4.port,
                    flowinfo: 0,
                    scope_id: 0,
                }),
            (SocketAddrView::V6(old_v6), IpAddrView::V4(ip)) =>
                SocketAddrView::V4(SocketAddrV4View { ip, port: old_v6.port }),
            (SocketAddrView::V6(old_v6), IpAddrView::V6(ip)) =>
                SocketAddrView::V6(SocketAddrV6View {
                    ip,
                    port: old_v6.port,
                    flowinfo: old_v6.flowinfo,
                    scope_id: old_v6.scope_id,
                }),
        },
;","The source replaces the IP while preserving the port. Same-family IPv6 updates preserve flowinfo and scope_id, while family-changing updates reconstruct the address and initialize IPv6 metadata to zero. The structured postcondition exactly mirrors the contract expression."
core::time::Duration::as_secs_f32,other,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,,"result == vstd::float::ieee_float_cast::<u64, f32>((duration@ / vstd::std_specs::duration::nanos_per_second()) as u64) + vstd::float::ieee_float_cast::<u32, f32>((duration@ % vstd::std_specs::duration::nanos_per_second()) as u32) / vstd::float::ieee_float_cast::<u32, f32>(1_000_000_000u32)","pub assume_specification[ core::time::Duration::as_secs_f32 ](
    duration: &core::time::Duration,
) -> (result: f32)
    ensures
        result == vstd::float::ieee_float_cast::<u64, f32>(
            (duration@ / vstd::std_specs::duration::nanos_per_second()) as u64,
        ) + vstd::float::ieee_float_cast::<u32, f32>(
            (duration@ % vstd::std_specs::duration::nanos_per_second()) as u32,
        ) / vstd::float::ieee_float_cast::<u32, f32>(1_000_000_000u32),
;","The view quotient and remainder recover the whole-second and nanosecond components used by the implementation. Their casts, division, and addition have finite non-NaN operands, so the deterministic IEEE specification exactly captures the returned f32."
core::time::Duration::as_secs_f64,other,,2,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,,"result == vstd::float::ieee_float_cast::<u64, f64>((duration@ / vstd::std_specs::duration::nanos_per_second()) as u64) + vstd::float::ieee_float_cast::<u32, f64>((duration@ % vstd::std_specs::duration::nanos_per_second()) as u32) / vstd::float::ieee_float_cast::<u32, f64>(1_000_000_000u32)","pub assume_specification[ core::time::Duration::as_secs_f64 ](
    duration: &core::time::Duration,
) -> (result: f64)
    ensures
        result == vstd::float::ieee_float_cast::<u64, f64>(
            (duration@ / vstd::std_specs::duration::nanos_per_second()) as u64,
        ) + vstd::float::ieee_float_cast::<u32, f64>(
            (duration@ % vstd::std_specs::duration::nanos_per_second()) as u32,
        ) / vstd::float::ieee_float_cast::<u32, f64>(1_000_000_000u32),
;","The Duration view quotient and remainder recover the whole-second and nanosecond fields used by the implementation. All operands and intermediate results are finite, the divisor is nonzero, and no NaN-producing case exists, so deterministic IEEE casts and arithmetic exactly describe the returned f64 without an existential quantifier."
core::time::Duration::div_duration_f32,other,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,,"The implementation consists of integer-to-f32 casts followed by f32 multiplication, addition, and division. Existing vstd models these operations with potentially nondeterministic relations, so the source-faithful relational pipeline cannot uniquely determine the returned f32. Replacing it with deterministic IEEE operations would assert behavior not available in the existing vstd vocabulary."
core::time::Duration::div_duration_f64,other,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,,"The implementation consists of integer-to-f64 casts followed by f64 multiplication, addition, and division. Existing vstd deliberately models these operations with potentially nondeterministic relations, so the source-faithful relational pipeline cannot determine the returned f64. Replacing it with deterministic IEEE operations would assert behavior Rust does not guarantee."
core::time::Duration::div_f32,other,,1,skip,skip,assume_specification,False,,,,0,0,0,,,,,,,"Existing vstd vocabulary provides only Duration's nanosecond view, not a semantic model connecting f32 arithmetic and conversion rounding to that view. The supplied Rust versions also use different floating-point pipelines with observably different results, so no useful version-stable result relation is justified."
core::time::Duration::div_f64,other,,1,skip,skip,assume_specification,False,,,,0,0,0,,,,,,,"The implementation composes floating-point conversion, division, and rounded conversion back to Duration. The supplied vstd vocabulary does not relate an f64 value to the resulting nanosecond view, so no useful sound result relation is expressible."
core::time::Duration::mul_f32,other,,1,skip,skip,assume_specification,False,,,,0,0,0,,,,,,,"The public vstd vocabulary does not relate f32 multiplication and conversion rounding to Duration's nanosecond view. Rust 1.96 and Nanvix Rust 1.99 also use observably different floating-point pipelines, so no useful sound result relation is justified."
core::time::Duration::mul_f64,other,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,rhs == 0.0f64 || (rhs == 1.0f64 && duration@ % nanos_per_second() == 0 && duration@ / nanos_per_second() <= 9_007_199_254_740_991),result@ == if rhs == 0.0f64 { 0 } else { duration@ },"pub assume_specification[ core::time::Duration::mul_f64 ](
    duration: core::time::Duration,
    rhs: f64,
) -> (result: core::time::Duration)
    requires
        rhs == 0.0f64
            || (rhs == 1.0f64
                && duration@ % nanos_per_second() == 0
                && duration@ / nanos_per_second() <= 9_007_199_254_740_991),
    ensures
        result@ == if rhs == 0.0f64 { 0 } else { duration@ },
;",The implementation round-trips the floating-point product through from_secs_f64. Multiplication by exact positive zero yields zero. Multiplication by exact one preserves whole-second durations within f64's exact-integer range; the supplied newer documentation warns that broader identity claims are invalid because rounding can occur.
core::time::Duration::try_from_secs_f32,other,,2,add_spec,skip,assume_specification,False,,,,0,0,0,,,,,,,"Inlining the arithmetic would fix the reported helper-scope errors, but the signature necessarily contains core::time::TryFromFloatSecsError, which current vstd does not support. A useful ordinary contract therefore requires an additional external type specification unavailable in existing vstd vocabulary."
core::time::Duration::try_from_secs_f64,other,,2,add_spec,skip,None,False,,,,0,0,0,determinism_unsupported_contract_form,,,,,None,"An assume_specification must reproduce the function's Result<Duration, TryFromFloatSecsError> return type, but TryFromFloatSecsError is unsupported by existing vstd. Modeling it would require a separate external_type_specification, so no useful ordinary contract can typecheck."
core::time::Duration::from_secs_f32,other,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,{ let bits = secs.to_bits_abs_spec() as nat; (!secs.is_sign_negative_spec() || bits == 0) && bits / 0x80_0000 < 191 },result@ == { let bits = secs.to_bits_abs_spec() as nat; let exponent = bits / 0x80_0000; let mantissa = bits % 0x80_0000; let significand = if exponent == 0 { mantissa } else { 0x80_0000 + mantissa }; let numerator = if exponent < 150 { 1_000_000_000 * significand } else { 1_000_000_000 * significand * pow2((exponent - 150) as nat) }; let denominator = if exponent < 150 { if exponent == 0 { pow2(149) } else { pow2((150 - exponent) as nat) } } else { 1 }; let quotient = numerator / denominator; let remainder = numerator % denominator; if remainder * 2 < denominator { quotient } else if remainder * 2 > denominator || quotient % 2 == 1 { quotient + 1 } else { quotient } },"pub assume_specification[
    core::time::Duration::from_secs_f32
](secs: f32) -> (result: core::time::Duration)
    requires
        {
            let bits = secs.to_bits_abs_spec() as nat;
            (!secs.is_sign_negative_spec() || bits == 0)
                && bits / 0x80_0000 < 191
        },
    ensures
        result@ == {
            let bits = secs.to_bits_abs_spec() as nat;
            let exponent = bits / 0x80_0000;
            let mantissa = bits % 0x80_0000;
            let significand = if exponent == 0 {
                mantissa
            } else {
                0x80_0000 + mantissa
            };
            let numerator = if exponent < 150 {
                1_000_000_000 * significand
            } else {
                1_000_000_000 * significand * pow2((exponent - 150) as nat)
            };
            let denominator = if exponent < 150 {
                if exponent == 0 {
                    pow2(149)
                } else {
                    pow2((150 - exponent) as nat)
                }
            } else {
                1
            };
            let quotient = numerator / denominator;
            let remainder = numerator % denominator;
            if remainder * 2 < denominator {
                quotient
            } else if remainder * 2 > denominator || quotient % 2 == 1 {
                quotient + 1
            } else {
                quotient
            }
        },
;","The method returns the checked conversion's value and panics on invalid input. The precondition excludes negative nonzero, non-finite, and overflowing binary32 values; the postcondition decodes the exact f32 value and models nanosecond rounding with ties to even."
core::time::Duration::from_secs_f64,other,,1,add_spec,add_spec,assume_specification,True,ok,unsat,complete,1,1,1,,,,{ let bits = secs.to_bits_abs_spec() as nat; (!secs.is_sign_negative_spec() || bits == 0) && bits / 0x10_0000_0000_0000 < 1087 },result@ == { let bits = secs.to_bits_abs_spec() as nat; let exponent = bits / 0x10_0000_0000_0000; let mantissa = bits % 0x10_0000_0000_0000; let significand = if exponent == 0 { mantissa } else { 0x10_0000_0000_0000 + mantissa }; let numerator = if exponent < 1075 { 1_000_000_000 * significand } else { 1_000_000_000 * significand * pow2((exponent - 1075) as nat) }; let denominator = if exponent < 1075 { if exponent == 0 { pow2(1074) } else { pow2((1075 - exponent) as nat) } } else { 1 }; let quotient = numerator / denominator; let remainder = numerator % denominator; if remainder * 2 < denominator { quotient } else if remainder * 2 > denominator || quotient % 2 == 1 { quotient + 1 } else { quotient } },"pub assume_specification[
    core::time::Duration::from_secs_f64
](secs: f64) -> (result: core::time::Duration)
    requires
        {
            let bits = secs.to_bits_abs_spec() as nat;
            (!secs.is_sign_negative_spec() || bits == 0)
                && bits / 0x10_0000_0000_0000 < 1087
        },
    ensures
        result@ == {
            let bits = secs.to_bits_abs_spec() as nat;
            let exponent = bits / 0x10_0000_0000_0000;
            let mantissa = bits % 0x10_0000_0000_0000;
            let significand = if exponent == 0 {
                mantissa
            } else {
                0x10_0000_0000_0000 + mantissa
            };
            let numerator = if exponent < 1075 {
                1_000_000_000 * significand
            } else {
                1_000_000_000 * significand * pow2((exponent - 1075) as nat)
            };
            let denominator = if exponent < 1075 {
                if exponent == 0 {
                    pow2(1074)
                } else {
                    pow2((1075 - exponent) as nat)
                }
            } else {
                1
            };
            let quotient = numerator / denominator;
            let remainder = numerator % denominator;
            if remainder * 2 < denominator {
                quotient
            } else if remainder * 2 > denominator || quotient % 2 == 1 {
                quotient + 1
            } else {
                quotient
            }
        },
;","The method returns the checked conversion's value and panics on invalid input. The precondition excludes negative nonzero, non-finite, and overflowing binary64 values; the postcondition decodes the exact f64 value and models nanosecond rounding with ties to even."
