target,status,semantic_family,contract_coverage_result,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,anti_vacuity_result,source_fidelity_result
core::slice::as_array,generated-new-real-relation-spec,views-and-fixed-subranges,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_array/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_array/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_array/det_harness.rs,target core::slice::as_array bound from inventory declaration core:61076 at core/src/slice/mod.rs:853,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_chunks,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks/det_harness.rs",target core::slice::as_chunks bound from inventory declaration core:61081 at core/src/slice/mod.rs:1399,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_chunks_mut,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_mut/det_harness.rs",target core::slice::as_chunks_mut bound from inventory declaration core:61082 at core/src/slice/mod.rs:1555,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_chunks_unchecked,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked/det_harness.rs",target core::slice::as_chunks_unchecked bound from inventory declaration core:61085 at core/src/slice/mod.rs:1341,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_chunks_unchecked_mut,generated-new-real-relation-spec,iterator-splitting-and-chunking,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_chunks_unchecked_mut/det_harness.rs",target core::slice::as_chunks_unchecked_mut bound from inventory declaration core:61088 at core/src/slice/mod.rs:1501,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_flattened,generated-new-real-relation-spec,views-and-fixed-subranges,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened/det_harness.rs,target core::slice::as_flattened bound from inventory declaration core:61083 at core/src/slice/mod.rs:5451,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_flattened_mut,generated-new-real-relation-spec,views-and-fixed-subranges,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=mutable-reference-view-boundary; unknown_review_reason=contract fixes the Seq view and old/final frame, but mutable reference identity and alias/lifetime state are not uniquely determined by that view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_flattened_mut/det_harness.rs",target core::slice::as_flattened_mut bound from inventory declaration core:61086 at core/src/slice/mod.rs:5493,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_mut_array,generated-new-real-relation-spec,views-and-fixed-subranges,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=mutable-reference-view-boundary; unknown_review_reason=contract fixes the Seq view and old/final frame, but mutable reference identity and alias/lifetime state are not uniquely determined by that view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_array/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_array/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_array/det_harness.rs",target core::slice::as_mut_array bound from inventory declaration core:61077 at core/src/slice/mod.rs:872,signature mirrored from inventory row and source declaration,<const N: usize>,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_mut_ptr,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr/det_harness.rs",target core::slice::as_mut_ptr bound from inventory declaration core:61074 at core/src/slice/mod.rs:760,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
core::slice::as_mut_ptr_range,generated-new-real-relation-spec,raw-pointer-and-provenance,covered: generated-new-real-relation-spec,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=raw-pointer-provenance-boundary; unknown_review_reason=pointer address, provenance, alignment, or layout state is source-observable but not uniquely recoverable from the pure slice Seq view; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr_range/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr_range/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260811T1415Z-select-nth-result-shape/core__slice__as_mut_ptr_range/det_harness.rs",target core::slice::as_mut_ptr_range bound from inventory declaration core:33775 at core/src/slice/mod.rs:839,signature mirrored from inventory row and source declaration,none,passed: generated relation uses shared Seq/View vocabulary and no banned vacuity fragment,"passed: source reference, signature, and generic bounds match inventory"
