target,no_feedback_status,with_feedback_status,no_feedback_complete,with_feedback_complete,no_feedback_proof_status,with_feedback_proof_status,no_feedback_no_spec_reason,with_feedback_no_spec_reason,initial_classification
alloc::collections::BinaryHeap::push,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::BinaryHeap::reserve,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::reserve_exact,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::retain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::BinaryHeap::shrink_to,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::shrink_to_fit,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::try_reserve,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::try_reserve_exact,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::BinaryHeap::with_capacity,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::LinkedList::append,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::back,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::back_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::LinkedList::clear,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::contains,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::extract_if,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::LinkedList::front,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::front_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::LinkedList::is_empty,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::iter,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::LinkedList::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::LinkedList::len,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::new,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::pop_back,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::pop_front,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::push_back,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::push_back_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::LinkedList::push_front,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::LinkedList::push_front_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::LinkedList::split_off,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::as_mut_slices,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::as_slices,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::back,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::back_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::binary_search,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::binary_search_by,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
alloc::collections::VecDeque::binary_search_by_key,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
alloc::collections::VecDeque::capacity,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,not_proved,representation_or_allocator,,representation_or_allocator
alloc::collections::VecDeque::contains,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::drain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::front,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::front_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::get,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::insert_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::is_empty,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::iter_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::make_contiguous,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::partition_point,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
alloc::collections::VecDeque::pop_back_if,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
alloc::collections::VecDeque::pop_front_if,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,strict_faithful_admissible,higher_order_contract,,higher_order_contract
alloc::collections::VecDeque::push_back_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::push_front_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::VecDeque::range,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::range_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::reserve_exact,typecheck_or_checker_failure,complete,False,True,no_valid_spec,not_proved,representation_or_allocator,,representation_or_allocator
alloc::collections::VecDeque::resize_with,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
alloc::collections::VecDeque::retain,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::retain_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,iterator_or_adapter_result,iterator_or_adapter_result,iterator_or_adapter_result
alloc::collections::VecDeque::rotate_left,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::rotate_right,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::shrink_to,typecheck_or_checker_failure,typecheck_or_checker_failure,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::VecDeque::shrink_to_fit,typecheck_or_checker_failure,complete,False,True,no_valid_spec,strict_faithful_admissible,representation_or_allocator,,representation_or_allocator
alloc::collections::VecDeque::swap,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::swap_remove_back,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::swap_remove_front,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::VecDeque::try_reserve,typecheck_or_checker_failure,unknown,False,False,no_valid_spec,not_proved,representation_or_allocator,,representation_or_allocator
alloc::collections::VecDeque::try_reserve_exact,typecheck_or_checker_failure,skip_no_spec,False,False,no_valid_spec,no_valid_spec,representation_or_allocator,representation_or_allocator,representation_or_allocator
alloc::collections::btree_map::Entry::and_modify,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,higher_order_contract,higher_order_contract,higher_order_contract
alloc::collections::btree_map::Entry::insert_entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::Entry::key,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::Entry::or_default,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::Entry::or_insert,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::Entry::or_insert_with,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::Entry::or_insert_with_key,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::OccupiedEntry::get,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::OccupiedEntry::get_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::OccupiedEntry::insert,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::OccupiedEntry::into_mut,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::OccupiedEntry::key,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::OccupiedEntry::remove,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::OccupiedEntry::remove_entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::VacantEntry::insert,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,determinism_checker_unsupported,determinism_checker_unsupported,determinism_checker_unsupported
alloc::collections::btree_map::VacantEntry::insert_entry,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
alloc::collections::btree_map::VacantEntry::into_key,skip_no_spec,skip_no_spec,False,False,no_valid_spec,no_valid_spec,needs_new_vstd_abstraction,needs_new_vstd_abstraction,needs_new_vstd_abstraction
