target,semantic_family,status,contract_text,requires,ensures,shared_helpers,source_reference,source_excerpt,strength,known_risks,typecheck_result,determinism_result,target_binding_result,signature_shape_result,generic_bounds_result,reviewer_notes
core::slice::assume_init_drop,maybe-uninit-slice-storage,generated-new-real-relation-spec,"pub assume_specification<T>[ <[core::mem::MaybeUninit<T>]>::assume_init_drop ]( slice: &mut [core::mem::MaybeUninit<T>], ) requires maybe_uninit_all_initialized(maybe_uninit_seq_relation(old(slice)@)), ensures maybe_uninit_relation_well_formed( maybe_uninit_seq_relation(old(slice)@), old(slice)@.len() as int, ), maybe_uninit_relation_well_formed( maybe_uninit_seq_relation(final(slice)@), final(slice)@.len() as int, ), final(slice)@.len() == old(slice)@.len(), maybe_uninit_drop_all( maybe_uninit_seq_relation(old(slice)@), maybe_uninit_seq_relation(final(slice)@), ), ;",maybe_uninit_all_initialized(old(self)@) and all T invariants required by the operation hold,maybe_uninit_relation_well_formed holds for old/final storage views; storage length is preserved; maybe_uninit_drop_all records all initialized elements dropped so the final raw-storage relation is no longer initialized,MaybeUninit initialization/raw-storage view plus old/final write-frame helper,core/src/mem/maybe_uninit.rs:1487,"pub const unsafe fn assume_init_drop(&mut self) where T: [const] Destruct,",source-backed Seq/View relation,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=maybeuninit-storage-boundary; unknown_review_reason=MaybeUninit initialization/storage state is modeled relationally through a raw-storage view and cannot be collapsed to one unique concrete value; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_drop/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_drop/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_drop/det_harness.rs,target core::slice::assume_init_drop bound from inventory declaration core:61036 at core/src/mem/maybe_uninit.rs:1487,signature mirrored from inventory row and source declaration,"T: [const] Destruct,","Executable remaining-family assume_specification wired through shared sorting/comparator, ASCII, raw pointer/provenance, SliceIndex, fixed-array flattening, and MaybeUninit vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::assume_init_mut,maybe-uninit-slice-storage,generated-new-real-relation-spec,"pub assume_specification<T>[ <[core::mem::MaybeUninit<T>]>::assume_init_mut ]( slice: &mut [core::mem::MaybeUninit<T>], ) -> (ret: &mut [T]) requires maybe_uninit_all_initialized(maybe_uninit_seq_relation(old(slice)@)), ensures maybe_uninit_relation_well_formed( maybe_uninit_seq_relation(old(slice)@), old(slice)@.len() as int, ), maybe_uninit_relation_well_formed( maybe_uninit_seq_relation(final(slice)@), final(slice)@.len() as int, ), final(slice)@.len() == old(slice)@.len(), ret@ == maybe_uninit_seq_relation(old(slice)@).values, ret@.len() == old(slice)@.len(), final(ret)@.len() == final(slice)@.len(), maybe_uninit_all_initialized(maybe_uninit_seq_relation(final(slice)@)), maybe_uninit_seq_relation(final(slice)@).values == final(ret)@, ;",maybe_uninit_all_initialized(old(self)@) and all T invariants required by the operation hold,result@ and final(result)@ preserve the slice length; old/final MaybeUninit relations are well-formed for their storage lengths; final(self)@ remains fully initialized and carries final(result)@ through the same raw-storage relation,MaybeUninit initialization/raw-storage view plus old/final write-frame helper,core/src/mem/maybe_uninit.rs:1528,pub const unsafe fn assume_init_mut(&mut self) -> &mut [T],source-backed Seq/View relation,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=maybeuninit-storage-boundary; unknown_review_reason=MaybeUninit initialization/storage state is modeled relationally through a raw-storage view and cannot be collapsed to one unique concrete value; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_mut/det_harness.rs,target core::slice::assume_init_mut bound from inventory declaration core:61038 at core/src/mem/maybe_uninit.rs:1528,signature mirrored from inventory row and source declaration,none,"Executable remaining-family assume_specification wired through shared sorting/comparator, ASCII, raw pointer/provenance, SliceIndex, fixed-array flattening, and MaybeUninit vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::assume_init_ref,maybe-uninit-slice-storage,generated-new-real-relation-spec,"pub assume_specification<T>[ <[core::mem::MaybeUninit<T>]>::assume_init_ref ]( slice: &[core::mem::MaybeUninit<T>], ) -> (ret: &[T]) requires maybe_uninit_all_initialized(maybe_uninit_seq_relation(slice@)), ensures maybe_uninit_relation_well_formed( maybe_uninit_seq_relation(slice@), slice@.len() as int, ), ret@ == maybe_uninit_seq_relation(slice@).values, ret@.len() == slice@.len(), ;",maybe_uninit_all_initialized(old(self)@) and all T invariants required by the operation hold,the MaybeUninit relation is well-formed for self length; result@ is the initialized T view of the same storage and result@.len() == self@.len(),MaybeUninit initialization/raw-storage view plus old/final write-frame helper,core/src/mem/maybe_uninit.rs:1509,pub const unsafe fn assume_init_ref(&self) -> &[T],source-backed Seq/View relation,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_remaining_families_batch.rs --no-verify; harness=verification/harnesses/slice_remaining_families_batch.rs; stdout=verification/evidence/slice_remaining_families_batch.verus.stdout(empty); stderr=verification/evidence/slice_remaining_families_batch.verus.stderr(empty); executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_ref/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_ref/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__assume_init_ref/det_harness.rs,target core::slice::assume_init_ref bound from inventory declaration core:61037 at core/src/mem/maybe_uninit.rs:1509,signature mirrored from inventory row and source declaration,none,"Executable remaining-family assume_specification wired through shared sorting/comparator, ASCII, raw pointer/provenance, SliceIndex, fixed-array flattening, and MaybeUninit vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::binary_search,search-prefix-suffix-ordering,generated-new-real-relation-spec,"pub assume_specification<T: core::cmp::Ord>[ <[T]>::binary_search ](slice: &[T], x: &T) -> (result: core::result::Result<usize, usize>) ensures slice_binary_search_result(slice@, *x, result);",none beyond documented Rust panic/unsafe domains,"slice_binary_search_result(slice@, *x, result)","ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers",core/src/slice/mod.rs:2925,"pub fn binary_search(&self, x: &T) -> Result<usize, usize> where T: Ord,",source-backed Seq/View relation,low-to-medium: executable Verus declaration typechecks; source fidelity relies on shared observation bridge; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=duplicate-or-callback-search-boundary; unknown_review_reason=search result is source-backed but relational: duplicate matches, insertion points, or callback/predicate observations do not force a unique return; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search/det_harness.rs",target core::slice::binary_search bound from inventory declaration core:61097 at core/src/slice/mod.rs:2925,signature mirrored from inventory row and source declaration,"T: Ord,",Executable find-like search assume_specification uses shared Ord observation bridge and conditional sorted/insertion-point relation; feedback-pipeline determinism result recorded in determinism_result.
core::slice::binary_search_by,search-prefix-suffix-ordering,generated-new-real-relation-spec,"pub assume_specification<'a, T, F: core::ops::FnMut(&'a T) -> core::cmp::Ordering>[ <[T]>::binary_search_by::<F> ](slice: &'a [T], f: F) -> (result: core::result::Result<usize, usize>) ensures slice_binary_search_by_result(slice@, f, result);",none beyond documented Rust panic/unsafe domains,"slice_binary_search_by_result(slice@, f, result)","ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers",core/src/slice/mod.rs:2976,"pub fn binary_search_by<'a, F>(&'a self, mut f: F) -> Result<usize, usize> where F: FnMut(&'a T) -> Ordering,",source-backed Seq/View relation,low-to-medium: executable Verus declaration typechecks; source fidelity relies on shared observation bridge; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=duplicate-or-callback-search-boundary; unknown_review_reason=search result is source-backed but relational: duplicate matches, insertion points, or callback/predicate observations do not force a unique return; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by/det_harness.rs",target core::slice::binary_search_by bound from inventory declaration core:61106 at core/src/slice/mod.rs:2976,signature mirrored from inventory row and source declaration,"<'a, F> F: FnMut(&'a T) -> Ordering,",Executable find-like search assume_specification uses shared FnMut ordering observation bridge and conditional order-consistent insertion relation; feedback-pipeline determinism result recorded in determinism_result.
core::slice::binary_search_by_key,search-prefix-suffix-ordering,generated-new-real-relation-spec,"pub assume_specification<'a, T, B: core::cmp::Ord, F: core::ops::FnMut(&'a T) -> B>[ <[T]>::binary_search_by_key::<B, F> ](slice: &'a [T], key: &B, f: F) -> (result: core::result::Result<usize, usize>) ensures slice_binary_search_by_key_result::<F, T, B>(slice@, *key, f, result);",none beyond documented Rust panic/unsafe domains,"slice_binary_search_by_key_result::<F, T, B>(slice@, *key, f, result)","ord_cmp_observed, FnMut ordering/key observation, predicate observation, sortedness, and partition helpers",core/src/slice/mod.rs:3077,"pub fn binary_search_by_key<'a, B, F>(&'a self, b: &B, mut f: F) -> Result<usize, usize> where F: FnMut(&'a T) -> B, B: Ord,",source-backed Seq/View relation,low-to-medium: executable Verus declaration typechecks; source fidelity relies on shared observation bridge; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_observation_mutation_batch.rs --no-verify; harness=verification/harnesses/slice_observation_mutation_batch.rs; stdout=verification/evidence/slice_observation_mutation_batch.verus.stdout(empty); stderr=verification/evidence/slice_observation_mutation_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=duplicate-or-callback-search-boundary; unknown_review_reason=search result is source-backed but relational: duplicate matches, insertion points, or callback/predicate observations do not force a unique return; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by_key/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by_key/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__binary_search_by_key/det_harness.rs",target core::slice::binary_search_by_key bound from inventory declaration core:61107 at core/src/slice/mod.rs:3077,signature mirrored from inventory row and source declaration,"<'a, B, F> F: FnMut(&'a T) -> B, B: Ord,",Executable find-like search assume_specification uses shared FnMut key and Ord observation bridges with conditional insertion relation; feedback-pipeline determinism result recorded in determinism_result.
core::slice::chunk_by,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T, F: core::ops::FnMut(&T, &T) -> bool>[ <[T]>::chunk_by::<F> ]( slice: &'a [T], pred: F, ) -> (iter: core::slice::ChunkBy<'a, T, F>) ensures slice_adjacent_chunk_view::<core::slice::ChunkBy<'a, T, F>, F, T>(iter, slice@, pred), ;",none beyond documented Rust panic/unsafe domains,"slice_adjacent_chunk_view fixes source/remaining, empty yielded_prefix/remainder, forward adjacent-predicate partition state, and adjacent predicate observations","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1867,"pub const fn chunk_by<F>(&self, pred: F) -> ChunkBy<'_, T, F> where F: FnMut(&T, &T) -> bool,",constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by/det_harness.rs,target core::slice::chunk_by bound from inventory declaration core:33749 at core/src/slice/mod.rs:1867,signature mirrored from inventory row and source declaration,"<F> F: FnMut(&T, &T) -> bool,","Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::chunk_by_mut,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T, F: core::ops::FnMut(&T, &T) -> bool>[ <[T]>::chunk_by_mut::<F> ]( slice: &'a mut [T], pred: F, ) -> (iter: core::slice::ChunkByMut<'a, T, F>) ensures slice_adjacent_chunk_view::<core::slice::ChunkByMut<'a, T, F>, F, T>( iter, old(slice)@, pred, ), ;",none beyond documented Rust panic/unsafe domains,"slice_adjacent_chunk_view fixes old(self)@ source/remaining, empty yielded_prefix/remainder, forward adjacent-predicate partition state, and adjacent predicate observations","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1909,"pub const fn chunk_by_mut<F>(&mut self, pred: F) -> ChunkByMut<'_, T, F> where F: FnMut(&T, &T) -> bool,",constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunk_by_mut/det_harness.rs",target core::slice::chunk_by_mut bound from inventory declaration core:33761 at core/src/slice/mod.rs:1909,signature mirrored from inventory row and source declaration,"<F> F: FnMut(&T, &T) -> bool,","Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::chunks,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ <[T]>::chunks ]( slice: &'a [T], chunk_size: usize, ) -> (iter: core::slice::Chunks<'a, T>) requires chunk_size != 0, ensures slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).source == slice@, slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).remaining == slice@, slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).yielded_prefix == Seq::empty(), slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).remainder == Seq::empty(), slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).chunk_size == chunk_size as int, !slice_iterator_view::<core::slice::Chunks<'a, T>, T>(iter).reverse, ;",chunk_size != 0,"slice_iterator_view(result) records self@ as source/remaining, empty yielded_prefix and remainder, chunk_size, and forward source order","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1158,"pub const fn chunks(&self, chunk_size: usize) -> Chunks<'_, T>",constructor/remainder/subrange partition relation over shared iterator view,medium: generated contract requires operator/Verus review; no target-local result view or vacuous clause used,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks/det_harness.rs,target core::slice::chunks bound from inventory declaration core:33631 at core/src/slice/mod.rs:1158,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared split, array, chunk-partition, and iterator-view vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::chunks_exact,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ <[T]>::chunks_exact ]( slice: &'a [T], chunk_size: usize, ) -> (iter: core::slice::ChunksExact<'a, T>) requires chunk_size != 0, ensures slice_iterator_view::<core::slice::ChunksExact<'a, T>, T>(iter).source == slice@, slice_iterator_view::<core::slice::ChunksExact<'a, T>, T>(iter).yielded_prefix == Seq::empty(), slice_iterator_view::<core::slice::ChunksExact<'a, T>, T>(iter).chunk_size == chunk_size as int, !slice_iterator_view::<core::slice::ChunksExact<'a, T>, T>(iter).reverse, slice_chunk_partition::<T>(slice_iterator_view::<core::slice::ChunksExact<'a, T>, T>(iter)), ;",chunk_size != 0,"slice_iterator_view(result) records self@, empty yielded_prefix, forward exact chunk partition, and a suffix remainder shorter than chunk_size","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1245,"pub const fn chunks_exact(&self, chunk_size: usize) -> ChunksExact<'_, T>",constructor/remainder/subrange partition relation over shared iterator view,medium: generated contract requires operator/Verus review; no target-local result view or vacuous clause used,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,feedback-pipeline determinism: status=ok; R0=UNSAT; r0_z3=unsat; classification=complete; verus_rc=0; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact/det_harness.rs,target core::slice::chunks_exact bound from inventory declaration core:33657 at core/src/slice/mod.rs:1245,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared split, array, chunk-partition, and iterator-view vocabulary; feedback-pipeline determinism result recorded in determinism_result."
core::slice::chunks_exact_mut,iterator-splitting-and-chunking,generated-new-real-relation-spec,"pub assume_specification<'a, T>[ <[T]>::chunks_exact_mut ]( slice: &'a mut [T], chunk_size: usize, ) -> (iter: core::slice::ChunksExactMut<'a, T>) requires chunk_size != 0, ensures slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).source == old(slice)@, slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).yielded_prefix == Seq::empty(), slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).chunk_size == chunk_size as int, !slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter).reverse, slice_chunk_partition::<T>(slice_iterator_view::<core::slice::ChunksExactMut<'a, T>, T>(iter)), ;",chunk_size != 0,"slice_iterator_view(result) records old(self)@, empty yielded_prefix, forward exact chunk partition, and suffix remainder","Seq source/remaining/remainder/yielded-prefix state, exact chunk partition, predicate split, adjacent chunk_by, split_off, utf8 chunk, and iterator helpers",core/src/slice/mod.rs:1293,"pub const fn chunks_exact_mut(&mut self, chunk_size: usize) -> ChunksExactMut<'_, T>",constructor/remainder/subrange partition relation over shared iterator view,medium: executable Verus typechecked; feedback-pipeline determinism result is recorded in determinism_result,verus-typecheck: pass; rc=0; command=/home/chentianyu/nanvix-rust-std-spec-survey/verus/source/target-verus/release/verus verification/harnesses/slice_splitting_iterator_batch.rs --no-verify; harness=verification/harnesses/slice_splitting_iterator_batch.rs; stdout=verification/evidence/slice_splitting_iterator_batch.verus.stdout(empty); stderr=verification/evidence/slice_splitting_iterator_batch.verus.stderr(empty); static-contract-shape-check retained with executable declaration present,"feedback-pipeline determinism: status=ok; R0=UNKNOWN; r0_z3=unknown; classification=ok_inconclusive; unknown_reason=iterator-or-subslice-state-boundary; unknown_review_reason=contract fixes source/remaining/subrange state, but the Rust iterator, chunk, split, or borrowed subslice value retains opaque runtime/lifetime state; verus_rc=1; evidence=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact_mut/result.json; synthetic=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact_mut/synthetic_spec.rs; harness=verification/evidence/slice_feedback_determinism/all-20260815T0127Z-ascii-whitespace-vtab-repair/core__slice__chunks_exact_mut/det_harness.rs",target core::slice::chunks_exact_mut bound from inventory declaration core:33673 at core/src/slice/mod.rs:1293,signature mirrored from inventory row and source declaration,none,"Executable splitting/chunk/iterator assume_specification wired through shared remainder, mutable chunk, predicate split, adjacent chunk_by, split_off, and utf8 chunk vocabulary; feedback-pipeline determinism result recorded in determinism_result."
