target,transition,fresh_category,fresh_final_decision,rationale_taxonomy,taxonomy_source_fields,taxonomy_source_backed,adequacy_verdict,adequacy_notes,unjustified_change,change_direction,fresh_issues_combined,fresh_rationale,fresh_requires,fresh_requires_source_fidelity_classification,fresh_requires_source_reference,fresh_requires_source_excerpt
alloc::collections::VecDeque::capacity,add_spec->skip,data_structure,skip,duplicate_existing_vstd_spec,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify an existing trusted vstd assume_specification for the exact API target,false,downgrade,classification:representation_or_allocator;duplicate_vstd_assume_specification,"vstd already provides an `assume_specification` for `VecDeque::capacity` through `CapacitySpec`; adding another contract is rejected as a duplicate. The existing specification supplies the observable capacity model, so no additional ordinary contract is needed.",,not_applicable,,
alloc::collections::VecDeque::partition_point,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"The meaningful result depends on the higher-order FnMut predicate. Expressing the partition boundary requires pred.requires and pred.ensures, but determinism of that relation was not proved. Omitting the predicate semantics leaves only the weak range fact result <= v@.len(), which does not usefully characterize the observable output. No useful ordinary contract is available in the existing vstd vocabulary.",,not_applicable,,
alloc::collections::VecDeque::pop_back_if,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"The result and final deque depend on invoking an arbitrary FnOnce that may mutate the last element and its captured state. Existing vstd vocabulary cannot express that higher-order interaction or determine which branch is taken, so an ordinary deterministic trusted contract would either omit essential semantics or overconstrain valid behavior.",,not_applicable,,
alloc::collections::VecDeque::pop_front_if,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,The result and final deque depend on an arbitrary FnOnce that may inspect and mutate the front element. Existing vstd vocabulary cannot specify that call or relate its Boolean result and mutation to the method's observable outputs. Omitting that relationship yields an underconstrained higher-order contract whose determinism cannot be established.,,not_applicable,,
alloc::collections::VecDeque::reserve_exact,add_spec->skip,data_structure,skip,representation_or_allocator_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify allocator capacity or container representation facts rather than stable semantic outputs,false,downgrade,classification:representation_or_allocator;determinism_unsupported_contract_form,"vstd already declares an assume_specification for VecDeque::reserve_exact in std_specs/vecdeque.rs, ensuring final(v)@ == old(v)@. Verus forbids a second specification for the same function, so the proposal cannot typecheck. The existing contract already captures the modeled logical effect; adding a separate capacity guarantee is therefore not possible through another ordinary trusted contract.",,not_applicable,,
alloc::collections::VecDeque::shrink_to,add_spec->skip,data_structure,skip,duplicate_existing_vstd_spec,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify an existing trusted vstd assume_specification for the exact API target,false,downgrade,classification:representation_or_allocator;duplicate_vstd_assume_specification,"VecDeque::shrink_to already has an assume_specification in vstd::std_specs::capacity. Adding another trusted contract is rejected as a duplicate, so this target must be skipped.",,not_applicable,,
alloc::collections::VecDeque::shrink_to_fit,add_spec->skip,data_structure,skip,duplicate_existing_vstd_spec,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify an existing trusted vstd assume_specification for the exact API target,false,downgrade,classification:representation_or_allocator;duplicate_vstd_assume_specification,vstd already provides a trusted specification for VecDeque::shrink_to_fit with sequence preservation and sound capacity bounds. Adding another assume_specification is rejected as a duplicate.,,not_applicable,,
alloc::collections::VecDeque::try_reserve,add_spec->skip,data_structure,skip,duplicate_existing_vstd_spec,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify an existing trusted vstd assume_specification for the exact API target,false,downgrade,classification:representation_or_allocator;duplicate_vstd_assume_specification,vstd::std_specs::capacity already provides an assume_specification for VecDeque::try_reserve. Adding another trusted contract is rejected as a duplicate and would redundantly model an allocator/representation-oriented API.,,not_applicable,,
alloc::ffi::CString::from_vec_with_nul_unchecked,skip->add_spec,other,add_spec,accepted_source_justified_precondition,fresh_rationale;fresh_requires_source_reference;fresh_requires_source_excerpt;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract has a non-empty requires clause with source-fidelity reference and excerpt,false,upgrade,,"Although the function is unsafe, its documented safety invariant is expressible exactly by the existing CString validity predicate. Under that invariant, the source stores the supplied bytes unchanged, while the existing modeled CString view exposes the payload without its required trailing nul; therefore result@ equals bytes@.drop_last().",c_string_bytes_with_nul_valid(bytes@),source_justified,alloc/src/ffi/c_str.rs:635,621: /// The given [`Vec`] **must** have one nul byte as its last element. 622: /// This means it cannot be empty nor have any other nul byte anywhere else. 635: pub unsafe fn from_vec_with_nul_unchecked(v: Vec<u8>) -> Self { 637: unsafe { Self::_from_vec_with_nul_unchecked(v) } 641: Self { inner: v.into_boxed_slice() }
alloc::rc::Rc::assume_init,add_spec->skip,data_structure,skip,unsafe_or_representation_sensitive,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,"fresh issue tags identify unsafe representation, provenance, or raw pointer behavior that would be trusted as an axiom",false,downgrade,classification:unsafe_or_representation_sensitive,"The implementation only performs a representation cast from Rc<MaybeUninit<T>, A> to Rc<T, A>. Soundness requires the hidden runtime fact that the allocation contains a fully initialized T, but the supplied public vstd vocabulary provides no predicate expressing that fact or relating MaybeUninit<T> to the resulting T. Therefore no useful non-vacuous contract is expressible.",,not_applicable,,
alloc::rc::Rc::new_uninit,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model,The function only guarantees a newly allocated Rc containing uninitialized storage. Existing public vstd vocabulary cannot soundly express that initialization state or allocation ownership without modeling hidden state.,,not_applicable,,
alloc::rc::Rc::new_uninit_slice,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"Although the returned slice length equals `len`, determinism could not be proved and the fresh allocation with uninitialized contents requires ownership and initialization semantics not expressible as a useful ordinary contract in the existing vstd vocabulary.",,not_applicable,,
alloc::str::from_boxed_utf8_unchecked,add_spec->skip,other,skip,unsafe_or_representation_sensitive,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,"fresh issue tags identify unsafe representation, provenance, or raw pointer behavior that would be trusted as an axiom",false,downgrade,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,"A sound contract must require that the boxed bytes form valid UTF-8. Existing public vstd vocabulary cannot express this predicate for Box<[u8]>, so an ordinary contract would omit the function's essential safety domain.",,not_applicable,,
alloc::string::String::extend_from_within,add_spec->skip,data_structure,skip,determinism_unsupported_contract_form,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh determinism feedback rejected the modeled contract form and no more specific issue tag was emitted,false,downgrade,determinism_unsupported_contract_form,"The generic RangeBounds value cannot be related to the resolved byte range using the supplied public Verus vocabulary. The previous existential postcondition permits multiple distinct final strings for the same inputs, so it does not specify deterministic observable behavior. Strengthening it without modeling range resolution would be unsupported by the source.",,not_applicable,,
alloc::string::String::into_boxed_str,add_spec->skip,data_structure,skip,complex_result_or_pattern_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify string or pattern result semantics that lack a complete public model,false,downgrade,classification:complex_result_or_pattern_model;determinism_unsupported_contract_form,"Although the source preserves the UTF-8 contents, the available Box<str> view produces a complex result model whose equality with String's view does not establish determinism. No useful, source-justified ordinary contract is expressible in the existing vstd vocabulary.",,not_applicable,,
alloc::sync::Arc::assume_init,add_spec->skip,data_structure,skip,unsafe_or_representation_sensitive,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,"fresh issue tags identify unsafe representation, provenance, or raw pointer behavior that would be trusted as an axiom",false,downgrade,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,"This unsafe API performs a representation-sensitive ownership-preserving cast of an Arc allocation. Existing vstd vocabulary cannot express that allocation and ownership identity without relying on internal representation modeling. A payload-only postcondition would omit the operation's essential Arc semantics and over-trust the representation cast, so no useful ordinary contract is appropriate.",,not_applicable,,
alloc::sync::Arc::into_inner,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"The Some/None result depends on Arc's hidden atomic strong-reference state and concurrent ownership transitions, which existing public vstd vocabulary cannot model. Relating a successful payload to dereferencing the consumed Arc introduces an invalid ownership or uninitialized-state model. No useful, source-justified ordinary contract remains.",,not_applicable,,
alloc::sync::Arc::new_uninit,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model,"The result contains intentionally uninitialized T storage. Existing public vstd vocabulary cannot soundly describe its initialization state, contents, or fresh allocation identity, so no useful non-vacuous result relation is expressible.",,not_applicable,,
alloc::sync::Arc::new_uninit_slice,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"Although the source guarantees that the returned slice has length `len`, the result is an owning `Arc` over uninitialized storage. Existing vstd vocabulary does not adequately model that ownership and initialization state, and determinism of the proposed observable contract was inconclusive. An ordinary trusted contract would therefore provide insufficient semantic value.",,not_applicable,,
alloc::sync::Arc::unwrap_or_clone,add_spec->skip,data_structure,skip,ownership_or_uninitialized_model_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify ownership or MaybeUninit state that is not modeled by available public views,false,downgrade,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,"The consumed Arc prevents directly observing its inner value in a robust postcondition, while cloned<T> is relational and does not determine the returned value. Existing vstd vocabulary cannot express the reference-count-dependent move-or-clone behavior without an ownership-model issue or an unjustified equality guarantee.",,not_applicable,,
core::array::as_mut_slice,skip->add_spec,data_structure,add_spec,accepted_slice_array_view_contract,fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract exposes source-documented slice or array view semantics without extra preconditions,false,upgrade,,"Rust 1.96 documents [T; N]::as_mut_slice as returning a mutable slice over the entire array, equivalent to `&mut s[..]`, and the body returns `self`. The contract keeps exactly that whole-array view relation and final mutation correspondence.",,not_applicable,,
core::array::each_mut,skip->add_spec,data_structure,add_spec,accepted_slice_array_view_contract,fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract exposes source-documented slice or array view semantics without extra preconditions,false,upgrade,,"Rust 1.96 constructs one mutable reference for each array element (`buf[i] = &raw mut self[i]`) and transmutes the initialized pointer array to `[&mut T; N]`. The contract records only observable per-index values: each returned reference initially dereferences to the corresponding pre-call array element, no mutation occurs during the call, and each final returned-reference value equals the corresponding `final(ar)@` element. It intentionally makes no pointer identity or provenance claim.",,not_applicable,,
core::array::from_fn,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"A useful specification must relate each output element to the corresponding invocation of the stateful FnMut closure. Existing vstd vocabulary only expresses this through higher-order closure contracts, which triggered the semantic issue and does not model ascending state transitions. Output length is already enforced by the return type, so no useful ordinary contract remains.",,not_applicable,,
core::array::from_mut,skip->add_spec,data_structure,add_spec,accepted_slice_array_view_contract,fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_add_spec,fresh accepted contract exposes source-documented slice or array view semantics without extra preconditions,false,upgrade,,"Rust 1.96 documents array::from_mut as converting `&mut T` to `&mut [T; 1]` without copying, and its body performs exactly the `(s as *mut T).cast::<[T; 1]>()` reinterpretation. The contract models only the observable singleton array view and the final mutation correspondence to the input reference.",,not_applicable,,
core::array::repeat,add_spec->skip,data_structure,skip,clone_semantics_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh rationale identifies Clone behavior with no public equality or view-preservation guarantee for arbitrary T,false,downgrade,clone_semantics_unmodeled,"For arbitrary T: Clone, Rust does not guarantee that cloning preserves Verus equality or any public semantic view. The supplied implementation only establishes that the array is populated through repeated Clone operations; without a public clone-result relation, no useful sound postcondition is expressible.",,not_applicable,,
core::cell::UnsafeCell::raw_get,add_spec->skip,data_structure,skip,unsafe_or_representation_sensitive,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,"fresh issue tags identify unsafe representation, provenance, or raw pointer behavior that would be trusted as an axiom",false,downgrade,classification:unsafe_or_representation_sensitive;determinism_unsupported_contract_form,"UnsafeCell<T> is unsupported by existing vstd modeling, so an ordinary contract for this declaration does not typecheck. Adding an external type specification solely for this method would enlarge the trusted surface, while address and provenance preservation alone would still omit wide-pointer metadata and would not fully characterize the returned pointer.",,not_applicable,,
core::cmp::Ordering::then_with,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"The Equal branch's observable result is produced by an arbitrary FnOnce closure. Existing vstd vocabulary can describe it only through call_requires/call_ensures, whose relation is not necessarily deterministic. No useful ordinary, source-justified contract can characterize that branch without relying on this inconclusive higher-order relation.",,not_applicable,,
core::cmp::max_by,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"A useful contract must relate the result to the comparator invocation. In existing vstd vocabulary this requires a higher-order FnOnce requires/ensures contract whose relational postcondition does not establish a unique Ordering, so the selected return value is not deterministic. A weaker result-only contract would omit the defining comparison semantics.",,not_applicable,,
core::cmp::max_by_key,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"A useful source-justified contract must model two sequential calls to the stateful FnMut closure—first on v2, then on v1—and the subsequent Ord comparison. Existing vstd closure vocabulary does not expose the intermediate closure state needed to connect these calls soundly. Independent existential call_ensures facts may admit inconsistent keys and a nondeterministic result, while merely stating that the result is v1 or v2 omits the defining comparison semantics.",,not_applicable,,
core::cmp::min_by,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"The return value depends on invoking the caller-provided comparator. Existing vstd vocabulary cannot express a deterministic, source-justified ordinary contract for this choice without relying on higher-order FnOnce requires/ensures predicates. The comparator-independent guarantee that the result is either v1 or v2 is nondeterministic and too weak.",,not_applicable,,
core::cmp::min_by_key,add_spec->skip,data_structure,skip,higher_order_behavior_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify higher-order closure or predicate behavior that the public model cannot observe completely,false,downgrade,classification:higher_order_contract;determinism_unsupported_contract_form,"The result depends on two ordered calls to an FnMut closure. Existing vstd call_requires/call_ensures vocabulary does not model the closure-state transition between those calls, so the proposed existential keys are not deterministically tied to the actual sequential execution. No useful ordinary, source-justified contract is available.",,not_applicable,,
core::fmt::Result::or_else,add_spec->skip,formatting,skip,formatting_effect_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify formatter side effects rather than a pure modeled result relation,false,downgrade,classification:formatting_effect;determinism_unsupported_contract_form,"Although the resolved implementation preserves Ok and invokes op on Err, core::fmt::Result::or_else may execute a formatting-effectful FnOnce. Existing vstd vocabulary exposes only the closure's abstract requires/ensures relation and cannot model its captured formatting-state transition or prove a deterministic observable result. Strengthening the domain to require a functional postcondition would impose an artificial restriction not present in the Rust API.",,not_applicable,,
core::fmt::Result::unwrap_or_else,add_spec->skip,formatting,skip,formatting_effect_unmodeled,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify formatter side effects rather than a pure modeled result relation,false,downgrade,classification:formatting_effect,"For core::fmt::Result, the Ok value is unit and the Err branch invokes an arbitrary FnOnce closure. Without a public specification for that closure’s behavior or formatting state, no useful non-vacuous result relation is expressible.",,not_applicable,,
core::iter::Iterator::max,add_spec->skip,trait_method,skip,trait_contract_integration_gap,fresh_issue_tags;fresh_rationale;fresh_requires_source_fidelity_rationale;manifest_source_context,true,adequate_source_backed_skip,fresh issue tags identify trait-method semantics that would require integration with trait-level contracts,false,downgrade,classification:trait_contract_integration;determinism_unsupported_contract_form,"Iterator::max is an associated trait method. The available contract harness cannot place an external specification inside the required trait context, so `self` and `Self::Item` are invalid and the proposal cannot typecheck. Recasting it as an ordinary free function would not attach the contract to the target API. Skip until external trait-method specifications are supported.",,not_applicable,,
