target,category,final_decision,rationale_taxonomy,taxonomy_source_fields,taxonomy_source_backed,adequacy_verdict,adequacy_notes,unjustified_skip,issues_combined,combined_issue_taxonomy_tags,rationale,requires,requires_source_fidelity_classification
alloc::boxed::Box::new_zeroed_slice,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form;ownership_or_uninitialized_model_gap,Existing vstd vocabulary cannot soundly model the zero-filled storage of a boxed MaybeUninit slice. A length-only postcondition leaves the observable result underconstrained and does not provide a useful semantic contract.,,not_applicable
alloc::boxed::Box::pin,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form;ownership_or_uninitialized_model_gap,"The observable return type core::pin::Pin<alloc::boxed::Box<T>> is unsupported by Verus without introducing an external type specification. Existing vstd vocabulary therefore cannot express a useful, typechecking ordinary contract for Box::pin.",,not_applicable
alloc::boxed::Box::write,data_structure,skip,ownership_or_uninitialized_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,available views do not model the ownership or uninitialized-state fact needed by the API,false,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form,classification:ownership_or_uninitialized_model;determinism_unsupported_contract_form;ownership_or_uninitialized_model_gap,"The API's essential behavior is an ownership-preserving transition from Box<MaybeUninit<T>, A> to Box<T, A>. Existing vstd vocabulary cannot express allocation identity or the initialization transition. Although *result == value typechecks, it omits that defining behavior and relies on trusted modeling of Box dereference across uninitialized storage, so it is not a suitable ordinary trusted contract.",,not_applicable
alloc::boxed::BoxedArrayIntoIter::as_mut_slice,data_structure,skip,no_modeled_observable_output,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,the executable API has no modeled observable output beyond already-typed effects,false,classification:toolchain_unavailable;no_modeled_observable_output;not_in_verus_rust_1_96,classification:toolchain_unavailable;no_modeled_observable_output;not_in_verus_rust_1_96,"BoxedArrayIntoIter::as_mut_slice is absent from the Rust 1.96 standard library used by Verus, so no exact, unconditionally typecheckable assume_specification declaration can be provided.",,not_applicable
alloc::boxed::BoxedArrayIntoIter::as_slice,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:toolchain_unavailable;no_modeled_observable_output;not_in_verus_rust_1_96,classification:toolchain_unavailable;no_modeled_observable_output;not_in_verus_rust_1_96;iterator_or_adapter_result_gap,"BoxedArrayIntoIter::as_slice is absent from the Verus Rust 1.96 toolchain, so no exact Rust 1.96 signature exists to target. Its remaining-elements view also depends on private iterator state unavailable through existing public vstd vocabulary.",,not_applicable
alloc::collections::BTreeMap::entry,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;iterator_or_adapter_result_gap,"The returned Entry adapter and its OccupiedEntry and VacantEntry payloads are unsupported by Verus. Existing vstd vocabulary provides no observable semantic view for this adapter, so a useful, source-justified contract cannot typecheck without first specifying those external types and their prophetic mutation behavior.",,not_applicable
alloc::collections::BTreeMap::extract_if,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;higher_order_behavior_unmodeled,"The returned ExtractIf mutably borrows the map and performs predicate-driven mutation and removal only as it is consumed. Its effects depend on partial consumption, drop, and mutable predicate calls. No supplied public vstd vocabulary models this prophetic iterator state, so neither the final map nor yielded entries can be related soundly and usefully.",,not_applicable
alloc::collections::BTreeMap::first_entry,data_structure,skip,complex_result_or_pattern_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"string, slice pattern, or complex result semantics lack a complete public model",false,classification:complex_result_or_pattern_model;determinism_unsupported_contract_form,classification:complex_result_or_pattern_model;determinism_unsupported_contract_form;complex_result_or_pattern_model_gap,"The observable result type contains OccupiedEntry, which Verus does not support and existing vstd vocabulary does not model. Consequently, even a result-shape contract cannot typecheck without first adding an external type specification. Omitting the result would fail to provide a useful observable semantic contract, so this API should be skipped.",,not_applicable
alloc::collections::BTreeMap::get_key_value,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,determinism_unsupported_contract_form,determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"Existing vstd BTreeMap vocabulary models borrowed-key lookup only through value-oriented predicates. It cannot identify the particular stored key reference returned by get_key_value. Consequently, an ordinary contract either leaves an observable component underdetermined or adds an unsupported relation between the query and stored key.",,not_applicable
alloc::collections::BTreeMap::into_keys,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The implementation wraps the map's consuming iterator, but the supplied public vstd vocabulary models only borrowed Keys iterators. Without an IteratorSpec/prophetic model for IntoKeys, no non-vacuous relation to the consumed map's keys, ordering, or iteration behavior is expressible.",,not_applicable
alloc::collections::BTreeMap::into_values,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The method returns an IntoValues iterator whose remaining ordered values require a prophetic iterator model. The supplied public vstd vocabulary provides no model connecting IntoValues to the consumed BTreeMap, so no useful non-vacuous result relation is expressible.",,not_applicable
alloc::collections::BTreeMap::iter_mut,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;iterator_or_adapter_result_gap,"Verus does not support BTreeMap::IterMut, and existing vstd vocabulary provides no observable semantic model for the returned mutable iterator. Domain preservation alone does not model the iterator result and therefore is not a useful ordinary contract for this iterator-producing API.",,not_applicable
alloc::collections::BTreeMap::last_entry,data_structure,skip,complex_result_or_pattern_model_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"string, slice pattern, or complex result semantics lack a complete public model",false,classification:complex_result_or_pattern_model;determinism_unsupported_contract_form,classification:complex_result_or_pattern_model;determinism_unsupported_contract_form;complex_result_or_pattern_model_gap,"The return type OccupiedEntry is unsupported by Verus and has no existing vstd semantic model. Consequently, even matching on the Option result fails to typecheck, and no useful observable postcondition can be expressed without first adding an external type specification for OccupiedEntry.",,not_applicable
alloc::collections::BTreeMap::range,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The returned Range exposes lazy double-ended iterator behavior backed by private tree state. The supplied public vstd vocabulary models BTreeMap as a Map but provides no prophetic model for Range or public relation connecting RangeBounds<T> to the ordered sequence of borrowed keys. Therefore no useful, non-vacuous result relation is expressible.",,not_applicable
alloc::collections::BTreeMap::range_mut,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"RangeMut is unsupported by Verus, and existing vstd vocabulary cannot observably characterize the returned iterator, its bounded entries, or its mutable value references. Specifying only preservation of the map domain is redundant and does not model the iterator result.",,not_applicable
alloc::collections::BTreeMap::remove_entry,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,determinism_unsupported_contract_form,determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"Existing vstd borrowed-key predicates cannot identify the unique stored key selected by the query. Consequently, they cannot deterministically characterize the returned owned key-value pair together with the exact map update. Strengthening the contract would require vocabulary relating borrowed-key ordering to a specific owned key.",,not_applicable
alloc::collections::BTreeMap::retain,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"Existing vstd vocabulary cannot express the stateful FnMut predicate's per-entry decisions and value mutations. The only typechecked generic postcondition, non-increasing map length, is too weak to provide a useful semantic contract, while stronger retained-entry claims would require a prophetic closure model and assumptions excluding key interior mutability.",,not_applicable
alloc::collections::BTreeMap::split_off,data_structure,skip,determinism_unsupported_contract_form,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,determinism feedback could not certify the modeled contract form,false,determinism_unsupported_contract_form,determinism_unsupported_contract_form,"Existing public vstd vocabulary cannot express whether each owned key compares below or at/above the borrowed split key. The previous contract preserves entries but leaves their partition underdetermined, so it does not determine either observable output map. Adding only weaker deterministic facts would omit the method's essential split semantics.",,not_applicable
alloc::collections::BTreeMap::values_mut,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The implementation establishes only that the result wraps `self.iter_mut()`. No supplied public vstd view or prophetic model relates `ValuesMut` to the map’s ordered values or to `final(self)`, so no useful non-vacuous result relation is expressible with existing vocabulary.",,not_applicable
alloc::collections::BTreeSet::difference,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The returned Difference is a lazy iterator with no supplied public vstd prophetic model or semantic view. Its elements, ordering, and progress therefore cannot be related soundly to self@ and other@ using existing specification vocabulary.",,not_applicable
alloc::collections::BTreeSet::extract_if,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;higher_order_behavior_unmodeled,"The returned ExtractIf lazily mutates the borrowed set as it is consumed, while partial consumption or immediate drop retains unvisited elements. No supplied public vstd vocabulary models the iterator’s prophetic yield sequence, predicate effects, range membership, or resulting final set, so no useful non-vacuous result relation is expressible.",,not_applicable
alloc::collections::BTreeSet::intersection,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;iterator_or_adapter_result_gap,"The observable result is an external iterator type, but existing vstd iterator semantics require IteratorSpecImpl. Implementing that external trait for alloc::collections::btree_set::Intersection violates Rust's orphan rules. An uninterpreted abstraction over the returned iterator would not connect to Iterator::next and therefore would not provide a useful ordinary contract in existing vstd vocabulary.",,not_applicable
alloc::collections::BTreeSet::range,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The result is a lazy Range iterator whose contents require a prophetic iterator model. The supplied public vstd vocabulary models BTreeSet and its full Iter, but not btree_set::Range or RangeBounds filtering. The implementation exposes only private map-iterator state, so no useful result relation is expressible.",,not_applicable
alloc::collections::BTreeSet::retain,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"Existing vstd vocabulary cannot soundly model the stateful FnMut predicate, its ascending invocation order, or predicate-dependent membership. The subset-only postcondition typechecks but does not characterize retain's defining behavior, and determinism was not proved.",,not_applicable
alloc::collections::BTreeSet::split_off,data_structure,skip,determinism_unsupported_contract_form,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,determinism feedback could not certify the modeled contract form,false,determinism_unsupported_contract_form,determinism_unsupported_contract_form,"The available vstd vocabulary cannot express the ordering relationship between Key::borrow() and the borrowed Q split value. A disjoint-partition contract typechecks and is source-justified but does not determine either observable output, while strengthening it without that relationship would be false or redundant.",,not_applicable
alloc::collections::BTreeSet::symmetric_difference,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result;determinism_unsupported_contract_form,classification:iterator_or_adapter_result;determinism_unsupported_contract_form;iterator_or_adapter_result_gap,"The returned SymmetricDifference iterator has no existing vstd IteratorSpec implementation. Adding one here violates Rust's orphan rules because both IteratorSpecImpl and SymmetricDifference are external. Without that model, the iterator's elements cannot be described through existing vstd vocabulary.",,not_applicable
alloc::collections::BTreeSet::take,data_structure,skip,higher_order_behavior_unmodeled,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,"closure, predicate, or comparator behavior is not fully observable in the public model",false,determinism_unsupported_contract_form,determinism_unsupported_contract_form;higher_order_behavior_unmodeled,"The existing borrowed-key predicates are uninterpreted for general Key and Q, with concrete meaning only for special cases such as Key = Q and Key = Box<Q>. They do not establish that sets_borrowed_key_to_key identifies a unique returned Key, so the owned Some payload remains nondeterministic. Neither obeys_cmp::<Key>() nor the Rust bounds express the required coherence between Key ordering, Q ordering, and Borrow<Q>. Adding a uniqueness or borrow-coherence precondition would introduce a nonstandard, burdensome domain unsupported by existing vstd vocabulary. Therefore no useful ordinary deterministic contract is available.",,not_applicable
alloc::collections::BTreeSet::union,data_structure,skip,iterator_or_adapter_result_gap,final_issue_tags;final_rationale;requires_source_fidelity_classification;manifest_source_context,true,adequate_source_backed_skip,iterator or adapter state/result behavior is not captured by the available public model,false,classification:iterator_or_adapter_result,classification:iterator_or_adapter_result;iterator_or_adapter_result_gap,"The method returns a lazy Union iterator. Existing public vstd vocabulary models BTreeSet views and Iter, but supplies no semantic view or prophetic model for btree_set::Union. The documented union membership, deduplication, and ascending-order guarantees therefore cannot be expressed usefully without inventing a new iterator model.",,not_applicable
