target,ensures,classification,evidence_kind,rationale,source_reference,source_excerpt
alloc::collections::BTreeSet::is_superset,result == other@.subset_of(m@),source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:765 is the classified Rust declaration/source_context for `BTreeSet::is_superset` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:765,"761:     /// assert_eq!(set.is_superset(&sub), true);
762:     /// ```
763:     #[must_use]
764:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
765:     pub fn is_superset(&self, other: &BTreeSet<T, A>) -> bool
766:     where
767:         T: Ord,
768:     {
769:         other.is_subset(self)
770:     }
771: 
772:     /// Returns a reference to the first element in the set, if any.
773:     /// This element is always the minimum of all elements in the set."
alloc::collections::BTreeSet::last,"match result {
            core::option::Option::Some(value) => {
                &&& !m@.is_empty()
                &&& *value == m@.find_unique_maximal(
                    |x: T, y: T| x.cmp_spec(&y) != core::cmp::Ordering::Greater,
                )
                &&& m@.contains(*value)
                &&& forall|x: T| #[trigger] m@.contains(x) ==>
                    x.cmp_spec(value) != core::cmp::Ordering::Greater
            },
            core::option::Option::None => m@.is_empty(),
        }",source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:819 is the classified Rust declaration/source_context for `BTreeSet::last` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:819,"815:     /// ```
816:     #[must_use]
817:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
818:     #[rustc_confusables(""back"")]
819:     pub fn last(&self) -> Option<&T>
820:     where
821:         T: Ord,
822:     {
823:         self.map.last_key_value().map(|(k, _)| k)
824:     }
825: 
826:     /// Removes the first element from the set and returns it, if any.
827:     /// The first element is always the minimum element in the set."
alloc::collections::BTreeSet::pop_first,"if old(m)@.is_empty() {
            &&& result is None
            &&& final(m)@ == old(m)@
        } else {
            let first = choose|candidate: T| {
                &&& old(m)@.contains(candidate)
                &&& forall|element: T| old(m)@.contains(element)
                    ==> candidate.cmp_spec(&element) != Ordering::Greater
            };
            &&& result == Some(first)
            &&& old(m)@.contains(first)
            &&& forall|element: T| old(m)@.contains(element)
                ==> first.cmp_spec(&element) != Ordering::Greater
            &&& final(m)@ == old(m)@.remove(first)
        }",source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:843 is the classified Rust declaration/source_context for `BTreeSet::pop_first` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:843,"839:     /// }
840:     /// assert!(set.is_empty());
841:     /// ```
842:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
843:     pub fn pop_first(&mut self) -> Option<T>
844:     where
845:         T: Ord,
846:     {
847:         self.map.pop_first().map(|kv| kv.0)
848:     }
849: 
850:     /// Removes the last element from the set and returns it, if any.
851:     /// The last element is always the maximum element in the set."
alloc::collections::BTreeSet::pop_last,"forall|v: Key| #![auto]
            result == Some(v) <==> old(m)@.contains(v)
                && forall|k: Key| #![auto]
                    old(m)@.contains(k) && k != v ==> k.cmp_spec(&v) is Less; (result is None) == old(m)@.is_empty(); match result {
            Some(v) => final(m)@ == old(m)@.remove(v),
            None => final(m)@ == old(m)@,
        }",source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:867 is the classified Rust declaration/source_context for `BTreeSet::pop_last` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:867,"863:     /// }
864:     /// assert!(set.is_empty());
865:     /// ```
866:     #[stable(feature = ""map_first_last"", since = ""1.66.0"")]
867:     pub fn pop_last(&mut self) -> Option<T>
868:     where
869:         T: Ord,
870:     {
871:         self.map.pop_last().map(|kv| kv.0)
872:     }
873: 
874:     /// Adds a value to the set.
875:     ///"
alloc::collections::BTreeSet::replace,final(m)@ == old(m)@.insert(value); result == if old(m)@.contains(value) { Some(value) } else { None },source_justified,btree_set_declaration_source_context,"alloc/src/collections/btree/set.rs:924 is the classified Rust declaration/source_context for `BTreeSet::replace` over the ordered set implementation; the accepted ensures clauses are expressed only over the observable set view, first/last element selection, relation result, and documented mutation effect from that source operation.",alloc/src/collections/btree/set.rs:924,"920:     /// assert_eq!(set.get(&[][..]).unwrap().capacity(), 10);
921:     /// ```
922:     #[stable(feature = ""set_recovery"", since = ""1.9.0"")]
923:     #[rustc_confusables(""swap"")]
924:     pub fn replace(&mut self, value: T) -> Option<T>
925:     where
926:         T: Ord,
927:     {
928:         self.map.replace(value)
929:     }
930: 
931:     /// Inserts the given `value` into the set if it is not present, then
932:     /// returns a reference to the value in the set."
alloc::collections::LinkedList::back_mut,"result is Some == (old(list)@.len() != 0); result is None == (old(list)@.len() == 0); result matches Some(value) ==> {
            &&& *value == old(list)@.last()
            &&& *final(value) == *value
            &&& final(list)@ == old(list)@
        }; result is None ==> final(list)@ == old(list)@",source_justified,exact_linkedlist_back_mut_source_gate,"alloc/src/collections/linked_list.rs:824 documents a mutable back-element lookup and implements it by projecting `self.tail.as_mut()` to `node.as_mut().element`; the ensures clauses model the source-backed Some/None branch, old tail value, and unchanged list view without pointer/provenance claims.",alloc/src/collections/linked_list.rs:824,"800: /// Provides a mutable reference to the back element, or `None` if the list
824: pub fn back_mut(&mut self) -> Option<&mut T> {
825: unsafe { self.tail.as_mut().map(|node| &mut node.as_mut().element) }"
alloc::collections::VecDeque::binary_search,"match result {
            Ok(i) => {
                &&& i < v@.len()
                &&& v@[i as int].cmp_spec(x) == Ordering::Equal
                &&& forall|j: int| 0 <= j < (i as int) ==>
                    v@[j].cmp_spec(x) == Ordering::Less
                &&& forall|j: int| (i as int) < j < v@.len() ==>
                    v@[j].cmp_spec(x) == Ordering::Greater
            },
            Err(i) => {
                &&& i <= v@.len()
                &&& forall|j: int| 0 <= j < (i as int) ==>
                    v@[j].cmp_spec(x) == Ordering::Less
                &&& forall|j: int| (i as int) <= j < v@.len() ==>
                    v@[j].cmp_spec(x) == Ordering::Greater
            },
        }",source_justified,exact_binary_search_source_gate,"alloc/src/collections/vec_deque/mod.rs:3201 shows `VecDeque::binary_search` has the `T: Ord` bound, documents sorted-input/insertion-index behavior and duplicate-match nondeterminism, and delegates to `self.binary_search_by(|e| e.cmp(x))`; the ensures clauses are the source-backed unique-match Ok/Err partition model.",alloc/src/collections/vec_deque/mod.rs:3201,"3156:     /// one of the matches could be returned. If the value is not found then
3157:     /// [`Result::Err`] is returned, containing the index where a matching
3158:     /// element could be inserted while maintaining sorted order.
3169:     /// uniquely determined position; the second and third are not
3193:     /// // If `num` is unique, `s.partition_point(|&x| x < num)` (with `<`) is equivalent to
3201:     pub fn binary_search(&self, x: &T) -> Result<usize, usize>
3203:         T: Ord,
3205:         self.binary_search_by(|e| e.cmp(x))
3213:     /// If the `VecDeque` is not sorted or if the comparator function does not
3218:     /// index of the matching element. If there are multiple matches, then any
3219:     /// one of the matches could be returned. If the value is not found then
3220:     /// [`Result::Err`] is returned, containing the index where a matching
3221:     /// element could be inserted while maintaining sorted order.
3232:     /// uniquely determined position; the second and third are not"
alloc::ffi::CString::from_vec_with_nul_unchecked,result@ == bytes@.drop_last(),source_justified,exact_unsafe_constructor_source_gate,alloc/src/ffi/c_str.rs:635 contains the Rust 1.96 safety/documentation and constructor body that establish the accepted observable result view; the ensures clause is the exact source-backed postcondition checked by the semantic gate.,alloc/src/ffi/c_str.rs:635,"621:     /// The given [`Vec`] **must** have one nul byte as its last element.
622:     /// This means it cannot be empty nor have any other nul byte anywhere else.
635:     pub unsafe fn from_vec_with_nul_unchecked(v: Vec<u8>) -> Self {
637:         unsafe { Self::_from_vec_with_nul_unchecked(v) }
641:         Self { inner: v.into_boxed_slice() }"
alloc::string::String::as_bytes,res@ == encode_utf8(s@),source_justified,string_declaration_source_context,"alloc/src/string.rs:1450 is the classified Rust declaration/source_context for `String::as_bytes`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1450,"1446:     #[inline]
1447:     #[must_use]
1448:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1449:     #[rustc_const_stable(feature = ""const_vec_string_slice"", since = ""1.87.0"")]
1450:     pub const fn as_bytes(&self) -> &[u8] {
1451:         self.vec.as_slice()
1452:     }
1453: 
1454:     /// Shortens this `String` to the specified length.
1455:     ///
1456:     /// If `new_len` is greater than or equal to the string's current length, this has no
1457:     /// effect.
1458:     ///"
alloc::string::String::clear,final(s)@ == Seq::<char>::empty(); final(s).spec_capacity() == old(s).spec_capacity(),source_justified,string_declaration_source_context,"alloc/src/string.rs:1941 is the classified Rust declaration/source_context for `String::clear`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1941,"1937:     /// assert_eq!(3, s.capacity());
1938:     /// ```
1939:     #[inline]
1940:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1941:     pub fn clear(&mut self) {
1942:         self.vec.clear()
1943:     }
1944: 
1945:     /// Removes the specified range from the string in bulk, returning all
1946:     /// removed characters as an iterator.
1947:     ///
1948:     /// The returned iterator keeps a mutable borrow on the string to optimize
1949:     /// its implementation."
alloc::string::String::from_utf8_unchecked,"forall|chars: vstd::prelude::Seq<char>|
            vstd::utf8::encode_utf8(chars) == bytes@ ==> res@ == chars",source_justified,exact_unsafe_constructor_source_gate,alloc/src/string.rs:1018 contains the Rust 1.96 safety/documentation and constructor body that establish the accepted observable result view; the ensures clause is the exact source-backed postcondition checked by the semantic gate.,alloc/src/string.rs:1018,"989:     /// Converts a vector of bytes to a `String` without checking that the
990:     /// string contains valid UTF-8.
998:     /// This function is unsafe because it does not check that the bytes passed
999:     /// to it are valid UTF-8. If this constraint is violated, it may cause
1001:     /// the standard library assumes that `String`s are valid UTF-8.
1018:     pub unsafe fn from_utf8_unchecked(bytes: Vec<u8>) -> String {
1019:         String { vec: bytes }
1058:         // SAFETY: String contents are stipulated to be valid UTF-8, invalid contents are an error"
alloc::string::String::insert,"final(s)@ == old(s)@.insert(
            choose |i: int| 0 <= i <= old(s)@.len()
                && encode_utf8(old(s)@.subrange(0, i)).len() == idx as nat,
            ch,
        )",source_justified,string_declaration_source_context,"alloc/src/string.rs:1731 is the classified Rust declaration/source_context for `String::insert`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1731,"1727:     #[inline]
1728:     #[track_caller]
1729:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1730:     #[rustc_confusables(""set"")]
1731:     pub fn insert(&mut self, idx: usize, ch: char) {
1732:         assert!(self.is_char_boundary(idx));
1733: 
1734:         let len = self.len();
1735:         let ch_len = ch.len_utf8();
1736:         self.reserve(ch_len);
1737: 
1738:         // SAFETY: Move the bytes starting from `idx` to their new location `ch_len`
1739:         // bytes ahead. This is safe because sufficient capacity was reserved, and `idx`"
alloc::string::String::insert_str,"final(s)@ == vstd::utf8::decode_utf8(
            vstd::utf8::encode_utf8(old(s)@).take(idx as int)
                + vstd::utf8::encode_utf8(string@)
                + vstd::utf8::encode_utf8(old(s)@).skip(idx as int)
        )",source_justified,string_declaration_source_context,"alloc/src/string.rs:1788 is the classified Rust declaration/source_context for `String::insert_str`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1788,"1784:     #[inline]
1785:     #[track_caller]
1786:     #[stable(feature = ""insert_str"", since = ""1.16.0"")]
1787:     #[rustc_diagnostic_item = ""string_insert_str""]
1788:     pub fn insert_str(&mut self, idx: usize, string: &str) {
1789:         assert!(self.is_char_boundary(idx));
1790: 
1791:         let len = self.len();
1792:         let amt = string.len();
1793:         self.reserve(amt);
1794: 
1795:         // SAFETY: Move the bytes starting from `idx` to their new location `amt` bytes
1796:         // ahead. This is safe because sufficient capacity was just reserved, and `idx`"
alloc::string::String::into_bytes,res@ == vstd::utf8::encode_utf8(s@),source_justified,string_declaration_source_context,"alloc/src/string.rs:1039 is the classified Rust declaration/source_context for `String::into_bytes`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1039,"1035:     #[must_use = ""`self` will be dropped if the result is not used""]
1036:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1037:     #[rustc_const_stable(feature = ""const_vec_string_slice"", since = ""1.87.0"")]
1038:     #[rustc_allow_const_fn_unstable(const_precise_live_drops)]
1039:     pub const fn into_bytes(self) -> Vec<u8> {
1040:         self.vec
1041:     }
1042: 
1043:     /// Extracts a string slice containing the entire `String`.
1044:     ///
1045:     /// # Examples
1046:     ///
1047:     /// ```"
alloc::string::String::is_empty,result == (s@.len() == 0),source_justified,string_declaration_source_context,"alloc/src/string.rs:1885 is the classified Rust declaration/source_context for `String::is_empty`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1885,"1881:     #[must_use]
1882:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1883:     #[rustc_const_stable(feature = ""const_vec_string_slice"", since = ""1.87.0"")]
1884:     #[rustc_no_implicit_autorefs]
1885:     pub const fn is_empty(&self) -> bool {
1886:         self.len() == 0
1887:     }
1888: 
1889:     /// Splits the string into two at the given byte index.
1890:     ///
1891:     /// Returns a newly allocated `String`. `self` contains bytes `[0, at)`, and
1892:     /// the returned `String` contains bytes `[at, len)`. `at` must be on the
1893:     /// boundary of a UTF-8 code point."
alloc::string::String::len,result as nat == encode_utf8(s@).len(),source_justified,string_declaration_source_context,"alloc/src/string.rs:1865 is the classified Rust declaration/source_context for `String::len`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1865,"1861:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1862:     #[rustc_const_stable(feature = ""const_vec_string_slice"", since = ""1.87.0"")]
1863:     #[rustc_confusables(""length"", ""size"")]
1864:     #[rustc_no_implicit_autorefs]
1865:     pub const fn len(&self) -> usize {
1866:         self.vec.len()
1867:     }
1868: 
1869:     /// Returns `true` if this `String` has a length of zero, and `false` otherwise.
1870:     ///
1871:     /// # Examples
1872:     ///
1873:     /// ```"
alloc::string::String::pop,"old(s)@.len() == 0 ==> result == None && final(s)@ == old(s)@; old(s)@.len() > 0 ==> result == Some(old(s)@[old(s)@.len() - 1])
            && final(s)@ == old(s)@.drop_last()",source_justified,string_declaration_source_context,"alloc/src/string.rs:1502 is the classified Rust declaration/source_context for `String::pop`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1502,"1498:     /// assert_eq!(s.pop(), None);
1499:     /// ```
1500:     #[inline]
1501:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1502:     pub fn pop(&mut self) -> Option<char> {
1503:         let ch = self.chars().rev().next()?;
1504:         let newlen = self.len() - ch.len_utf8();
1505:         unsafe {
1506:             self.vec.set_len(newlen);
1507:         }
1508:         Some(ch)
1509:     }
1510: "
alloc::string::String::push,final(s)@ == old(s)@.push(ch),source_justified,string_declaration_source_context,"alloc/src/string.rs:1421 is the classified Rust declaration/source_context for `String::push`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1421,"1417:     /// ```
1418:     #[cfg(not(no_global_oom_handling))]
1419:     #[inline]
1420:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1421:     pub fn push(&mut self, ch: char) {
1422:         let len = self.len();
1423:         let ch_len = ch.len_utf8();
1424:         self.reserve(ch_len);
1425: 
1426:         // SAFETY: Just reserved capacity for at least the length needed to encode `ch`.
1427:         unsafe {
1428:             core::char::encode_utf8_raw_unchecked(ch as u32, self.vec.as_mut_ptr().add(len));
1429:             self.vec.set_len(len + ch_len);"
alloc::string::String::push_str,final(s)@ == old(s)@ + string@,source_justified,string_declaration_source_context,"alloc/src/string.rs:1106 is the classified Rust declaration/source_context for `String::push_str`; the accepted ensures clauses model only the observable UTF-8 character/byte view, length/capacity, returned character/string, and documented mutation effect of that source body.",alloc/src/string.rs:1106,"1102:     #[inline]
1103:     #[stable(feature = ""rust1"", since = ""1.0.0"")]
1104:     #[rustc_confusables(""append"", ""push"")]
1105:     #[rustc_diagnostic_item = ""string_push_str""]
1106:     pub fn push_str(&mut self, string: &str) {
1107:         self.vec.extend_from_slice(string.as_bytes())
1108:     }
1109: 
1110:     #[cfg(not(no_global_oom_handling))]
1111:     #[inline]
1112:     fn push_str_slice(&mut self, slice: &[&str]) {
1113:         // use saturating arithmetic to ensure that in the case of an overflow, reserve() throws OOM
1114:         let additional: Saturating<usize> = slice.iter().map(|x| Saturating(x.len())).sum();"
